Rank,Song,Artist,Year,Lyrics,Source
49,flex ooh ooh ooh,rich homie quan,2015,aye oh there it is there it is there it is there it is there it is rich homie babywalked in 30000 in my pocket had them niggas just like ooohh 15000 dollars on your bitch wanna f*ck me got her screamin like ooohh cause i got a check nigga wanna flex aint gotta flex but i got it ooohh give that ho some x she gone wanna sex every nigga in the set and now she screamin like ooohh how much you mademade some million dollars of a mixtape and im f*ckin like ooohh they try to drop me with a case but you know i had to skate it i was singing like oooohh thats right nigga boy i know my role and i play it if you heard that im talking then i said it i see quan where you at at the top of the loft nigga i stay im a bad boy but i dont wear big clothes like mae in the club and a nigga get it boppin and that ho she want a free drink tell the bitch to get up off it im the nigga to get it poppin her hair short like dennis rodman at the clearport nigga we flying when i landed boy iwalked in 30000 in my pocket had them niggas just like ooohh 15000 dollars on your bitch wanna f*ck me got her screamin like ooohh cause i got a check nigga wanna flex aint gotta flex but i got it ooohh give that ho some x she gone wanna sex every nigga in the set and now she screamin like ooohhhow much you made 100000 just in two days i dont f*ck with niggas cause they two faced i only f*ck with bitches for that toupee these givencheys i aint worried about no new taste know that be true got a set and she always got my back so i love that shit the most im her big dog and she my cat and she love it from the back call her green cause she on goose i wear glasses cause i know these niggas watchin they mad cause they cannot stop me boy stopping is not a option i cant help it cause i got it dont waste time i got shit watchin talkin rollex yeah i bought em now im at the top started from the bottom then iwalked in 30000 in my pocket had them niggas just like ooohh 15000 dollars on your bitch wanna f*ck me got her screamin like ooohh cause i got a check nigga wanna flex aint gotta flex but i got it ooohh give that ho some x she gone wanna sex every nigga in the set and now she screamin like ooohhhow much you made a 100000 how much how much you made a 100000 how much how much you made made some million dollars of a mixtape and i f*ck like ooohhh aye get at me,1
50,nasty freestyle,twayne,2015,NA,NA
51,only,nicki minaj featuring drake lil wayne and chris brown,2015,yo i never f*cked wayne i never f*cked drake all my life man f*cks sake if i did i did a menage with em and let em eat my ass like a cupcake my man full he just ate i dont duck nobody but tape yeah that was a set up for a punchline on duct tape worried bout if my butts fake worried bout johns singing us drake these girls are my sons john and kate plus eight when i walk in sit up straight i dont give a f*ck if i was late dealing with my man on a g5 is my idea of an update hut one hut two big titties big butt too f*ck with them real niggas who dont tell niggas what they up to had to show bitches where the top is ring finger where the rock is these hoes couldnt test me even if their name was pop quiz bad bitches who i f*ck with mad bitches we dont f*ck with i dont f*ck with them chickens unless they last name is cutlet let it soak in like seasonin and tell em tell em blow me lance stephensonraise your bottle and cup in the sky sparks in the air like the fourth of july nothing but bad bitches in here tonight oh if you lame and you know it be quiet nothing but real niggas only bad bitches only rich niggas only independent bitches only boss niggas only thick bitches only i got my real niggas here by my side onlyi never f*cked nicki cause she got a man but when thats over then im the first in line and the other day in her maybach i thought god damn this is the perfect time we had just come from that video you know la traffic how the city slow she was sitting down on that big butt but i was still staring at the titties though yeah low key it may be high key i been peeped that you like me you know who the f*ck you really wanna be with besides me i mean it doesnt take much for us to do this shit quietly i mean she say im obsessed with thick women and i agree thats right i like my girls bbw yeah type to wanna suck you dry and then eat some lunch with you so thick that everyone else in the room is so uncomfortable ass on houston texas but the face look just like claire huxtable oh yeah you the man in the city when the mayor f*ck with you the nba players f*ck with you the bad ass bitches doing makeup and hair f*ck with you oh thats cause i believe in something and i stand for it and nicki if you ever tryna f*ck just give me the heads up so i can plan for itraise your bottle and cup in the sky sparks in the air like the fourth of july nothing but bad bitches in here tonight oh if you lame and you know it be quiet nothing but real niggas only bad bitches only rich niggas only independent bitches only boss niggas only thick bitches only i got my real niggas here by my side onlyi never f*cked nicki and thats f*cked up if i did f*ck shed be f*cked up whoever is hittin aint hittin it right cause she actin like she need dick in her life thats another story im no story teller i piss greatness like gold is yellow all my goons so overzealous im from holly groove the holy mecca accountant say i got money for days i squirm and i shake but im stuck in my ways my girl from a bida if she wave baby and i f*cked with her surfboard surfboard my eyes are so bright i take cover for shade dont have my money i take mothers instead you got the hickups you swallowed the truth then i make you burp boy treat me like sirloin im talkin bout runnin in houses with arm and guns so think about your son and daughter rooms got two goons and they got smaller guns aint thinkin bout your son and daughter rooms this is just crazy my nigga i mean brazy my nigga that money talk i just rephrase it my nigga blood gang take the b ill behave ya im niggas is for reals if you mouth off i blow your face off i mean poppoppop then i take off now you see me now you dont like jamie foxx acting like ray charles 16 in a clip one in the chamber 17 ward bully with 17 bullets my story is how i went from poor me to police pour me a drink and celebrate with meraise your bottle and cup in the sky sparks in the air like the fourth of july nothing but bad bitches in here tonight oh if you lame and you know it be quiet nothing but real niggas only bad bitches only rich niggas only independent bitches only boss niggas only thick bitches only i got my real niggas here by my side only,1
52,elastic heart,sia,2015,and another one bites the dust oh why can i not conquer love and i might have thought that we were one wanted to fight this war without weaponsand i wanted it i wanted it bad but there were so many red flags now another one bites the dust yeah lets be clear ill trust no one    meaning  byjamesg   editor    elastic heart is a song by australian recording artist sia featuring canadian recording artist the weeknd and american producer diplo taken from the    see all   prechorus you did not break me im still fighting for peacechorus ive got thick skin and an elastic heart but your blade it might be too sharp im like a rubberband until you pull too hard i may snap and i move fast but you wont see me fall apart cos ive got an elastic heartand i will stay up through the night lets be clear wont close my eyes and i know that i can survive ill walk through fire to save my lifeand i want it i want my life so bad im doing everything i can then another one bites the dust its hard to lose a chosen oneprechorus you did not break me im still fighting for peacechorus ive got thick skin and an elastic heart but your blade it might be too sharp im like a rubberband until you pull too hard i may snap and i move fast but you wont see me fall apart cos ive got an elastic heart,1
53,cool for the summer,demi lovato,2015,tell me what you want what you like its okay imma little curious too tell me if its wrong if its right i dont care i can keep a secret could yougot my mind on your body and your body on my mind got a taste for the cherry i just need to take a bite dont tell your mother kiss one another die for each other were cool for the summer haooh ooh take me down into your paradise dont be scared cause im your body type just something that we wanna try cause you and i were cool for the summertell me if i won if i did whats my prize i just wanna play with you too even if they judge f*ck it ill do the time i just wanna have some fun with yougot my mind on your body and your body on my mind got a taste for the cherry i just need to take a bite dont tell your mother kiss one another die for each other were cool for the summer haooh ooh take me down into your paradise dont be scared cause im your body type just something that we wanna try cause you and i were cool for the summer were cool for the summer were cool for the summershhh dont tell your mother got my mind on your body and your body on my mind got a taste for the cherry i just need to take a bitetake me down take me down into your paradise dont be scared cause im your body type just something that we wanna try cause you and i were cool for the summertake me down were cool for the summer dont be scared cause im your body type just something that we wanna try cause you and i were cool for the summer ooh were cool for the summer,1
54,renegades,x ambassadors,2015,run away with me lost souls and reverie running wild and running free two kids you and meand i say hey hey hey hey living like were renegades hey hey hey hey hey hey living like were renegades renegades renegadeslong live the pioneers rebels and mutineers go forth and have no fear come close the end is nearand i say hey hey hey hey living like were renegades hey hey hey hey hey hey living like were renegades renegades renegadesall hail the underdogs all hail the new kids all hail the outlaws spielbergs and kubricksits our time to make a move its our time to make amends its our time to break the rules lets beginand i say hey hey hey hey living like were renegades hey hey hey hey hey hey leaving like were renegades renegades renegades,1
55,i dont mind,usher featuring juicy j,2015,yeah usher baby this is for the ashawty i dont mind if you dance on a pole that dont make you a hoe shawty i dont mind when you work until three if youre leaving with me go make that money money money your money money money cause i know how it is go and handle your biz and get that money money money your money money money you can take off your clothes long as you coming home girl i dont mindthe ballers in here tonight they gon buy a hundred bottles as soon as you shake it i know they gon make it colossal in here cause shawty you thinkin them tricks that you do with your body got all of these niggas they crowding around you like they seen beyonc̩ in here you want your own and you need your own baby who am i to judge cause how could i ever trip about it when i met you in the club i make enough for the both of us but you dance anyway you know i was raised in the ashawty i dont mind if you dance on a pole that dont make you a hoe shawty i dont mind when you work until three if youre leaving with me go make that money money money your money money money cause i know how it is go and handle your biz and get that money money money your money money money you can take off your clothes long as you coming home girl i dont mindwhen you get off of work ill be ready to go in the rari and when we get home well have us our own private party in here so i dont worry at all about the things they do or say i love you anyway you can twerk while in a split you racking up them tips your body rock and your booty poppin im proud to call you my bitch they be lookin but they cant touch you shawty im the only one to get it so just go ahead and keep doing what you do do itshawty i dont mind if you dance on a pole that dont make you a hoe shawty i dont mind when you work until three if youre leaving with me go make that money money money your money money money cause i know how it is go and handle your biz and get that money money money your money money money you can take off your clothes lets get it juicy j long as you coming home girl i dont mindim just tryina cut her up tryina bust a nut tryina take somebody bitch turn her to a slut tryina fill my cup tryina live it up throw some hundreds on that ass walk her out the club yeah hoe uh lap dance for the first date bet i threw a few bands thats third base its okay if you work late we can still party like its your birthday we can still party hard in your birthday suit knock that pussy out the park like my name babe ruth shawty she just want a tip i just want to see her strip if you f*ck me like you love me shawty you might get rich have her own cake her own place blow her own gas no role when we in the bed she like to roleplay tell her friend to join in both waysshawty i dont mind if you dance on a pole that dont make you a hoe i dont mind when you work until three if youre leaving with me gotta move you gotta make that money money money your money money money cause i know how it is girl go and handle your biz and get that money money money make your money money money you can take off your clothes long as you coming home girl i dont mind,1
56,love me harder,ariana grande and the weeknd,2015,tell me something i need to know then take my breath and never let it go if you just let me invade your space ill take the pleasure take away the painand if in the moment i bite my lip baby in that moment youll know this is something bigger than us and beyond bliss give me a reason to believe itcause if you want to keep me you gotta gotta gotta gotta gotta got to love me harder and if you really need me you gotta gotta gotta gotta gotta gotta got to love me harder gotta love me harder love me love me love me harder harder harderi know your motives and you know mine the ones that love me i tend to leave behind if you know about me and choose to stay then take this pleasure and take away the painand if in the moment you bite your lip when i get you moaning you know its real can you feel the pressure between your hips ill make it feel like the first timecause if you want to keep me you gotta gotta gotta gotta gotta got to love me harder imma love you harder and if you really need me you gotta gotta gotta gotta gotta got to love me harder love me harder love me love me love me harder harder harder love me love me love me harder harder harderso what do i do if i cant figure it out you got to try try try again so what do i do if i cant figure it out im gonna leave leave againcause if you want to keep me you gotta gotta gotta gotta gotta got to love me harder ill love you love you love you and if you really need me you gotta gotta gotta gotta gotta gotta got to love me harder love me love me baby cause if you want to keep me you gotta gotta gotta gotta gotta got to love me harder love me harder and if you really need me you gotta gotta gotta gotta gotta gotta got to love me harder imma love you harder love me love me love me harder harder harder love me love me baby love me love me love me just a little bit just a little bit harder babe harder harder harder,1
57,wildest dreams,taylor swift,2015,he said lets get out of this town drive out of the city away from the crowds i thought heaven cant help me now nothing lasts forever but this is gonna take me down hes so tall and handsome as hell hes so bad but he does it so well i can see the end as it begins my one condition issay youll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say youll see me again even if its just in your wildest dreams ah ah wildest dreams ah ah    meaning  byjamesg   editor    wildest dreams is a song by american singer taylor swift it is her fifth single from album 1989 2014 and was cowritten with producers max martin and    see all   i said no one has to know what we do his hands are in my hair his clothes are in my room and his voice is a familiar sound nothing lasts forever but this is getting good now hes so tall and handsome as hell hes so bad but he does it so well and when weve had our very last kiss but my last request it issay youll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say youll see me again even if its just in your wildest dreams ah ah ah ah wildest dreams ah ahyou see me in hindsight tangled up with you all night burn it down some day when you leave me i bet these memories hunt you around you see me in hindsight tangled up with you all night burn it down burn it down some day when you leave me i bet these memories follow you around follow you aroundsay youll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say youll see me again even if its just pretendsay youll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say youll see me again even if its just just pretend just pretend in your wildest dreams ah ah in your wildest dreams ah ah even if its just in your wildest dreams ah ah in your wildest dreams ah ah,1
58,stay with me,sam smith,2015,guess its true im not good at a onenight stand but i still need love cause im just a man these nights never seem to go to plan i dont want you to leave will you hold my handoh wont you stay with me cause youre all i need this aint love its clear to see but darling stay with me    meaning  byjamesg   editor    stay with me is a song by english recording artist sam smith from his debut studio album in the lonely hour 2014 it was written by sam smith james    see all   why am i so emotional no its not a good look gain some self control and deep down i know this never works but you can lay with me so it doesnt hurtoh wont you stay with me cause youre all i need this aint love its clear to see but darling stay with meoh wont you stay with me cause youre all i need this aint love its clear to see but darling stay with meoh wont you stay with me cause youre all i need this aint love its clear to see but darling stay with me,1
59,you know you like it,dj snake and alunageorge,2015,some people want me to be heads or tails i say no way try again another day i should be happy not tipping the scales i just wont lay letting my life get awayim no fool no im not a follower i dont take things as they come if they bring me down life can be cruel if youre a dreamer i just wanna have some fun dont tell me what cant be doneyou know you like it but it drives you insane you know you like it but it drives you insane you know you like it but youre scared of the shame what you want what you gonna do you know you like it but it drives you insane only cause you know that you wanna feel the same you know you like it but it drives you insane what you want what you gonna doif you wanna train me like an animal better keep your eye on my every move theres no need to be so damn cruel baby you got nothing to proveim no fool no im not a follower i dont take things as they come if they bring me down life can be cruel if youre a dreamer i just wanna have some fun dont tell me what cant be doneyou know you like it but it drives you insane you know you like it but it drives you insane you know you like it but youre scared of the shame what you want what you gonna do you know you like it but it drives you insane only cause you know that you wanna feel the same you know you like it but it drives you insane what you want what you gonna do,1
60,uma thurman,fall out boy,2015,i can move mountains i can work a miracle work a miracle oh oh keep you like an oath may nothing but death do us partshe wants to dance like uma thurman bury me till i confess she wants to dance like uma thurman and i cant get you out of my headthe stench the stench of summer sex and ck eternity oh hell yes divide me down to the smallest i can be put your put your venom in mei can move mountains i can work a miracle work a miracle oh oh i keep you like an oath may nothing but death do us partshe wants to dance like uma thurman bury me till i confess she wants to dance like uma thurman and i cant get you out of my headthe blood the blood the blood of the lamb its worth two lions but here i am and i slept in last nights clothes and tomorrows dreams but theyre not quite what they seemi can move mountains i can work a miracle work a miracle oh oh i keep you like an oath may nothing but death do us partyoull find your way and may death find you alive take me down the line in gem city we turn the tide youll find your way and may death find you alive take me down the line in gem city we turn the tideshe wants to dance like uma thurman bury me till i confess she wants to dance like uma thurman and i cant get you out of my headi can move mountains i can work a miracle work a miracle oh oh i keep you like an oath may nothing but death do us parti can move mountains i can work a miracle work a miracle oh oh i keep you like an oath may nothing but death do us part,1
61,711,beyonce,2015,shoulders sideways smack it smack it in the air legs movin side to side smack it in the air legs movin side to side smack you in the air shoulders sideways smack it smack it in the air smack it smack it in the air legs movin side to side smack it smack it in the air smack it smack it in the airwave your hands side to side put it in the air wave your hands side to side put it in the air clap clap clap like you dont care smack that clap clap clap like you dont care i know you careclap clap clap clap clap it foot up my foot up hold up now my foot up im spinnin im spinnin my foot up foot up yeah my foot up im spinnin im spinnin my foot up put my foot down yeah my hands up my hands up my hands up flexin flexin while my hands up my hands up my hands up i stand up with my hands up then i put up my hands up i put up my hands up i put up my hands up then im spinnin all my hands up spinnin spinnin while my hands up spinnin spinnin while my hands up spinnin spinnin while my hands up then im tippin all my hands up spinnin im spinnin im spinnin while my hands up spinnin im spinnin im spinnin im spinnin while my hands up drankoh let go like alcohol oh let go like alcohol oh let go like alcohol dont you drop that alcohol never drop that alcohol never drop that alcohol i know you thinkin bout alcohol i know im thinkin bout that alcoholman it feel like rollin dice man it feel like rollin dice seven eleven seven eleven seven twice man seven twice man it feel like rollin dice man this feel like rollin dice man it feel like rollin dice seven twice seven twice girl im tryna kick it with you girl im tryna kick it with you man im tryna kick it with you my feet up i kick it with you man i swear i kick it with you girl i wanna kick it with you man i know i kick it with you yeah i spin around and i kick it with youshoulders sideways smack it smack it in the air legs movin side to side smack it in the air legs movin side to side smack you in the air shoulders move side to side smack it in the air smack it in the air smack it smack it the in the air smack it in the air smack it smack it in the airwave your hands side to side put it in the air wave your hands side to side put it in the air clap clap clap like you dont care smack that clap clap clap like you dont care i know you carewave your hands side to side wave your hands side to side wave your hands side to side wave your hands side to side ooh we be be freaky deaky then you see she pink bikini rock out that booty out that dashiki never td edges teeny sweatin on my blow out sweatin on my dress this trick about to go off mad cause im so fresh fresher than you im fresher than you fresher than you,1
62,the heart wants what it wants,selena gomez,2015,intro in the youtube video clip when i was on when i was on stage and i was thinking of i felt like i know i know him though and i know that and i know his heart and i know what he wouldnt do to hurt me but i didnt realize that iii feeling so confident feeling so great about myself and then it just be completely shattered by one thing by something so stupid but then you make me feel crazy you make me feel like its my fault i was in pain intro what the heart wants what the heart wants what the heart wants verse 1 you got me sipping on something i cant compare to nothing ive ever known im hoping that after this fever ill survive i know im acting a bit crazy strung out a little bit hazy hand over heart im praying that im gonna make it out alive prechorus the beds getting cold and youre not here the future that we hold is so unclear but im not alive until you call and now i bet the odds against it all save your advice cause i wont hear you might be right but i dont care theres a million reasons why i should give you up chorus but the heart wants what it waaaaants the heart wants what it waaaaants verse 2 you got me scattered in pieces shining like stars and screaming lighting me up like venus but then you disappear and make me wait and every seconds like torture heroin drip no more so finding a way to let go baby baby no i cant escape prechorus chorus  extended but the heart wants what it waaaaants the heart wants what it waaaaants the heart wants what it waaaaants the heart wants what it waaaaants bridge this is a mockery  fairytale no happy ending no wind in our sails but i cant imagine a life without breathless moments breaking me down down down down prechorus chorus  extended outro the heart wants what it wants baby the heart wants what it wants baby wants what it wants wants what it wants,3
63,girl crush,little big town,2015,i got a girl crush hate to admit it but i got a heart rush aint slowing down i got it real bad want everything she has that smile and that midnight laugh shes giving you now    meaning  byamandah   editor    when girl crush began to gain momentum on the billboard hot country songs chart back in may 2015 a strange backlash from the conservative side of the    see all   i want to taste her lips yeah cause they taste like you i want to drown myself in a bottle of her perfume i want her long blonde hair i want her magic touch yeah cause maybe then youd want me just as much i got a girl crush i got a girl crushi dont get no sleep i dont get no peace thinking about her under your bed sheets the way that shes whispering the way that shes pulling you in lord knows ive tried i cant get her off my mindi want to taste her lips yeah cause they taste like you i want to drown myself in a bottle of her perfume i want her long blonde hair i want her magic touch yeah cause maybe then youd want me just as much i got a girl crush i got a girl crush hate to admit it but i got a heart rush it aint slowing down,1
64,slow motion,trey songz,2015,i know you got all dressed up for the club waiting on them to come pick you up baby when i saw ya walking out the door i just knew ya needed something more now whip it straight back to the crib finna give you something that you wont forgetbaby i just wanna get you out them clothes i just wanna see you dance inslow motion we can take we can take we can take our time baby in slow motion we can take we can take we can take our time stay here in slow motionso shawty let your hair down take a sip go and put this joint between your lips baby why dont you make yourself comfortable while i go and put this tongue on you so tell me when you ready ima speed it up for you just for a second just for a second then ima slow it back down and keep it steadynow that you are out them clothes i just wanna see you dance in slowslow motion we can take we can take we can take our time baby in slow motion we can take we can take we can take our time stay here in slow motionoh darling i just wanna get you out them clothes i just wanna see you dance inslow motion we can take we can take we can take our time baby in slow motion we can take we can take we can take our time stay here in slow motion we can take we can take we can take our time baby in slow motion we can take we can take we can take our time stay here,1
65,drag me down,one direction,2015,ive got fire for a heart im not scared of the dark youve never seen it look so easy i got a river for a soul and baby youre a boat baby youre my only reasonif i didnt have you there would be nothing left the shell of a man who could never be his best if i didnt have you id never see the sun you taught me how to be someone yeahall my life you stood by me when no one else was ever behind me all these lights they cant blind me with your love nobody can drag me downall my life you stood by me when no one else was ever behind me all these lights they cant blind me with your love nobody can drag me down    meaning  byjamesg   editor    drag me down is a song recorded by britishirish boy band one direction for their fifth studio album it was the first song released by one direction after    see all   nobody nobody nobody can drag me down nobody nobody nobody can drag me downi got a fire for a heart im not scared of the dark youve never seen it look so easy i got a river for a soul and baby youre a boat baby youre my only reasonif i didnt have you there would be nothing left nothing left the shell of a man who could never be his best be his best if i didnt have you id never see the sun see the sun you taught me how to be someone yeahall my life you stood by me when no one else was ever behind me all these lights they cant blind me with your love nobody can drag me downnobody nobody nobody can drag me down nobody nobody nobody can drag meall my life you stood by me when no one else was ever behind me all these lights they cant blind me with your love nobody can drag me downall my life you stood by me when no one else was ever behind me all these lights they cant blind me with your love nobody can drag me downnobody nobody nobody can drag me down nobody nobody nobody can drag me downnobody nobody nobody can drag me down nobody nobody nobody can drag me down,1
66,truffle butter,nicki minaj featuring drake and lil wayne,2015,uh thinkin out loud i must have a quarter million on me right now hard to make a song bout somethin other than the money two things im bout is talkin blunt and staying blunted pretty women are you here are you here right now huh we should all disappear right now look youre gettin all your friends and youre gettin in the car and youre comin to the house are we clear right now huh you see the fleet of all the new things cop cars with the loose change all white like i move things niggas see me rollin and their mood change like a motherf*cker new flow i got a dozen of em i dont trust you you are undercover i could probably make some stepsisters f*ck each other talkin filets with the truffle butter fresh sheets and towels man she gotta love it yeah they all get what they desire from it what tell them niggas we aint hidin from ityo thinkin out loud i must have about a milli on me right now and i aint talkin about that lil wayne record im still the highest sellin female rapper for the record man this a 65 million single sold i aint gotta compete with a single soul im good with the ballpoint game finger roll ask me how to do it i dont tell a single soul pretty women wassup is you here right now you a standup or is you in your chair right now uh do you hear me i cant let a wack nigga get near me i might kiss the baddest bitch if you dare me i aint never need a man to take care of me yo im in that big boy bitches cant rent this i floss everyday but i aint a dentist your whole style and approach i invented and i aint takin that back cause i meant ituh thinkin out loud i could be broke and keep a million dollar smile lol to the bank checkin my account bank teller flirtin after checkin my account pretty ladies are you here truffle butter on your pussy cuddle buddies on the low you aint gotta tell your friend that i eat it in the morning cause she gonna say i know can i hit it in the bathroom put your hands on the toilet ill put one leg on the tub girl this my new dance move i just dont know what to call it but bitch you dancing with the stars i aint nothin like your last dude whats his name not important i bought some cocaine you can snort it she became a vacuum put it on my dick like carpet suck the white off like chocolate im so heartless thoughtless lawless and flawless smallest regardless largest in charge and born in new orleans get killed for jordans skateboard im gnarly drake tunechi and barbie you know,1
67,one last time,ariana grande,2015,i was a liar i gave into the fire i know i shouldve fought it at least im being honest feel like a failure cause i know that i failed you i shouldve done you better cause you dont want a liar come onand i know and i know and i know she gives you everything but boy i couldnt give it to you and i know and i know and i know that you got everything but i got nothing here without youso one last time i need to be the one who takes you home one more time i promise after that ill let you go baby i dont care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you homei dont deserve it i know i dont deserve it but stay with me a minute ill swear ill make it worth it cant you forgive me at least just temporarily i know that this is my fault i should have been more careful come onand i know and i know and i know she gives you everything but boy i couldnt give it to you and i know and i know and i know that you got everything but i got nothing here without you babyso one last time i need to be the one who takes you home one more time i promise after that ill let you go baby i dont care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you homei know i shouldnt fight it at least im being honest just stay with me a minute i swear ill make it worth it cause i dont want to be without youso one last time i need to be the one who takes you home one more time i promise after that ill let you go baby i dont care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you homeone last time i need to be the one who takes you home,1
68,chains,nick jonas,2015,with her winestained lips yeah shes nothing but trouble cold to the touch but shes warm as a devil i gave all my heart but she wont heal my soul she tasted a break and i cant get moreyou got me in chains you got me in chains for your love but i wouldnt change no i wouldnt change this love you got me chains you got me in chains for your love but i wouldnt change no i wouldnt change this lovetryina break the chains but the chains only break me hey hey hey hey tryina break the chains but the chains only break mealone in the night til she knocks on my door oh no oh no wasted again but i cant say no no baby tell me why why you do do me wrong baby tell me why why you do do me wrong gave you my heart but you took my soulyou got me in chains oh babe you got me in chains for your love but i wouldnt change i wouldnt change no i wouldnt change this love you got me chains you got me in chains for your love but i wouldnt change wouldnt change no i wouldnt change this lovetryina break the chains but the chains only break me hey hey hey hey tryina break the chains but the chains only break mehey hey hey hey you got me in baby tell me why why you do do me wrong baby tell me why why you do do me wrong gave you my heart but you took my soul heyyou got me in chains you got me in chains for your love but i wouldnt change no i wouldnt change this love you got me chains oh babe you got me in chains for your love oh but i wouldnt change no i wouldnt change this lovetryina break the chains but the chains only break me,1
69,all eyes on you,meek mill featuring chris brown and nicki minaj,2015,baby is you drunk is you had enough are you here lookin for love got the club goin crazy all these bitches but my eyes on you is you somebodys baby if you aint girl what we gon do if you we gon need it baby give it all up for you right now we got the club goin crazy all eyes on youshe was the baddest i was the realest we was the flyest up in the building we was countin this money lovin the feelin look at you now in love with a hitta but now its all eyes on me and it all lies on me to say somethin to your pretty ass im hood nigga what you lookin at cause im good for that birkin bags im good for that might just be your plug for that you might fall in love with that got love for that whats your name who you with where you from you the shit choose and pick get the right one all these chicks got to like one all these hit you got to like one all these bottles got to like some all these models got the right one what you gon do hide or runbaby is you drunk is you had enough are you here lookin for love got the club goin crazy all these bitches but my eyes on you is you somebodys baby if you aint girl what we gon do if you we gon need it baby give it all up for you right now we got the club goin crazy all eyes on youhe was the realest i was the baddest we was the illest when he approached me i said yo what the deal is in and out them dealers rockin chinchillas i got him in the back of that back i think he catchin feelings now its all eyes on us and its all eyes on trust and if them bitches wanna trip tell em they tour guides on us this kitty cat on reclusive he duck duckin them gooses i put him on to that new new now he only f*ck with exclusives he was like whats your name my name nick where you from new york in this bitch choose and pick you got the right one all them hoes aint nothin like them nigga you know youd never wife them none of them bitches aint never hit this still at the top of all their hit lists what they gon do meek and nick,1
70,no type,rae sremmurd,2015,yah bad bitches is the yahi aint got no type nah bad bitches is the only thing that i like you aint got no life nah cups with the ice and we do this every night i aint check the price i got it i make my own money so i spend it how i like im just living life and let my momma tell it nigga i aint living right nopechop the top off the porsche thats a headless horse extendo long as an extension cord cord bitch i ball like jordan and i play full court i play full court and if you not my type then you know i got to keep this shit short i got to keep this shit short what you know about a check what you got up in your pocket what you spending when you shopping dawg why you wanna go flex like you all in the mix like you got some shit popping off i got some models that you see up in the movies and they want to make a flick for the camera yeah wanna be kim kardashian heard i was living like a bachelori aint got no type nah bad bitches is the only thing that i like you aint got no life nah cups with the ice and we do this every night i aint check the price i got it i make my own money so i spend it how i like im just living life and let my momma tell it nigga i aint living right nopespend it how i like yah sinning every night yah pushstart the whip hey brought it straight to life to life blowing on the kush blowing till im out of sight i wont go i dont check the price bitch all i do is swipe she said whats your type yeah i said i like what i like yeah i dont second guess nah i just roll the dice keep it movin keep your two cents take your own advice ive been living life yeah like i live twicei aint got no type nah bad bitches is the only thing that i like you aint got no life nah cups with the ice and we do this every night i aint check the price i got it i make my own money so i spend it how i like im just living life and let my momma tell it nigga i aint living right nopei aint got no type i aint got no type and let my momma tell it nigga i aint living right,1
71,riptide,vance joy,2015,i was scared of dentists and the dark i was scared of pretty girls and starting conversations oh all my friends are turning green youre the magicians assistant in their dreamsoh and they come unstucklady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when youre singing that song and i got a lump in my throat because youre gonna sing the words wrongtheres this movie that i think youll like this guy decides to quit his job and heads to new york city this cowboys running from himself and shes been living on the highest shelfoh and they come unstucklady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when youre singing that song and i got a lump in my throat because youre gonna sing the words wrongi just wanna i just wanna know if youre gonna if youre gonna stay i just gotta i just gotta know i cant have it i cant have it any other way i swear shes destined for the screen closest thing to michelle pfeiffer that youve ever seen ohlady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when youre singing that song and i got a lump in my throat because youre gonna sing the words wrongoh lady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when youre singing that song and i got a lump in my throat because youre gonna sing the words wrongoh lady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when youre singing that song and i got a lump in my throat because youre gonna sing the words wrong i got a lump in my throat because youre gonna sing the words wrong,1
