title,date,summary
Amazing,"Reviewed April 12, 2016 ",For all true football fans this is a must visit. Fantastic stadium and facilities and the whole experience for kids and adukts was excellent.
Very organised ,"Reviewed April 12, 2016 ","Great experience if you like football/soccer.

Tour is really organised and set out to easily follow.
Tickets can be purchased online for quick and easy access.

Very informative and interesting.
Lots of good memorabilia and exhibitions."
School trip,"Reviewed April 12, 2016 ",Visited in 2014 on a school trip and again this year. A truly remarkable stadium with a great history tour/ museum. A must for any football/ sports fan!
"Wonderful for everyone, not just fans","Reviewed April 12, 2016 ","This museum is very thorough and includes a ton of really interesting displays about Barca. Lots of old uniforms, trophies, photographs and videos, artwork, history of the team, traditions, future of the stadium...So much. It is hard not to get swept up in the excitement...More"
El classico,"Reviewed April 12, 2016 ","Great stadium with an amazing atmosphere! !

I would recommend arriving early to take in the atmosphere and get pictures 

The official club store is also unbelievable and has loads to offer

Also able to get a glimpse at last masia the youth stadium"
Not only for football suporters,"Reviewed April 12, 2016 ",The home of one of the best football clubs in the history. The stadium tour will be better if includes the directors box and home dressing room.
Must See in Barcelona,"Reviewed April 12, 2016 ","Museum of one of the best clubs in the football history, a lot of interactive walls, artifacts, golden ball and golden shoe."
Took in a Tour and A Game - Both are Phenomenal.,"Reviewed April 12, 2016 ","If you aren't able to attend a game, the Camp Nou Tour is a great substitute. The Tour and Museum offer a great look inside the Camp Nou and gives you great access to the visitors locker room, press box, the entry hallway and the...More"
"Fantastic, must see stadium tour!","Reviewed April 12, 2016 ","I was pretty much only on this tour to accompany my son who absolutely loves football but I was blown away by the museum and tour.  You cannot fail to be impressed by the scale of the museum and all its details, and the stadium/pitch...More"
Best Stadium Experience ,"Reviewed April 12, 2016 ","Arrived at camp nou via the red buses tour around the city which is a brilliant way to get there.
This was our second visit to camp nou after experiencing the tour first time round we wanted to go again.
The tour cost us 42.00...More"
It's The Nou Camp!!! Come on.,"Reviewed April 12, 2016 ","Whether you are a massive football fan like myself or like my father-in-law, who has little interest in the sport anymore, this Tour is a must. From start to finish, the tour indulges you in the rich history of the club. For 10 Euros you...More"
A must see!!!,"Reviewed April 12, 2016 ","A must see for all football fans. Fantastic ground, nice museum and club shop is gigantic. Only thing we found was we didn't really need to pay 5€ extra for audio guides.
Lovely places in the Nou Camp to get food and drink."
Tour of Camp Nou Barcelona,"Reviewed April 12, 2016 ","We booked this trip from the UK via AttractionTix. Saved a bit of money, the only down side was that we had to collect the tickets from close to the Ramblas. We took the Metro from our hotel (NH Podium), took about 20 mins to...More"
What a spectacle,"Reviewed April 11, 2016 ","We took a tour of Camp Nou whilst on holiday in Barcelona. The stadium itself is incredible and should be part of everyone's itinerary when visiting Barcelona, football fan or not."
"Great place, expensive entry","Reviewed April 11, 2016 ","Totally deserves a visit, for the same of Messi. The entry fee of €23 is a bit too much though. The museum at the end of the camp nou tour is amazing, so is the in house shop."
Deceivingly breathtaking ,"Reviewed April 11, 2016 ",The outer part of the stadium doesn't really sell the breathtaking views of the stadium indoors. You can seriously imagine the vibe on home matches
Brilliant ,"Reviewed April 11, 2016 ","Went with my teenager who is a die hard football fan. What a great place to visit, worth every penny. I did feel the shop was a bit of a rip off, €130 for a football top thought that very over priced."
Amazing stadium to watch a game,"Reviewed April 11, 2016 ","Fortunate to be able to watch a football match here.. it was the Champions League Quarter Finals First Leg.

- relatively easy to get there - close to Subway stop
- atmosphere is electric
- tickets easy to buy - we bought at the FC...More"
Fabulous atmosphere,"Reviewed April 11, 2016 ",I was lucky enough to see a big match between Barcelona and Athletico Madrid. The atmosphere and the excitement was brilliant.
"Tour is good, match amazing!","Reviewed April 11, 2016 ","Liked the fact that you take yourself round the tour, bit different to other stadium tours I've done, but least you can go at your own pace. Sit in the stands, take pictures pitch side as long as you like etc. You don't visit the...More"
WOW... wasn't expecting that!!,"Reviewed April 11, 2016 ","OK so I am NOT a big Barcelona fan, lets get that out of the way first, and I wasn't expecting much on this tour. Boy was I surprised. 
WHAT a tour.... first YOU DO NOT HAVE TO BOOK AHEAD unless you want the expensive...More"
Impressive!,"Reviewed April 11, 2016 ",Impressive stadium. Shop is a bit expensive.. Tour is interesting. Ive been many times and wherever I managed to get a ticket for a match always had a good view
Excellent!,"Reviewed April 11, 2016 ","Worth to see all the cups and historic documents of this amazing and successful football team Barza.
There is also photographs you can take with the stadium background and your favorite football player (not real). Nice souvenir."
Incredible experience!,"Reviewed April 11, 2016 ","I was not a football fanatic, but visiting the Camp Nou is an amazing experience. I was able to visit the museum which is incredible how the Barza team was able to reach so much cups and recognition. With my husband we were able to...More"
Deam come true for my son ....and Dad!,"Reviewed April 11, 2016 ","fantastic experience and a very well organised tour. be prepared if you are scared of heights, lots of steps to claim but well worth it and the shop is amazing."
Barcelona Football Club. ,"Reviewed April 11, 2016 ","Easy to get to on City Bus Tours which we bought a 2 day pass for and went all over the city. Amazing stadium. We spent a few hours here in the shop, museum and stadium itself. You can't get into home teams dressing room...More"
We visited a Champions-League Game in the biggest stadium,"Reviewed April 11, 2016 ","It was impressive and it was big. it wasn't easy to get a ticket for this match. We had a great view, some nice places and a good atmosphere. The stadium is impressive and i would recommend to visit it. Barca is a great and...More"
Perfect for Football suporters,"Reviewed April 10, 2016 ","Audio tours are available at a cost but just as good to walk around freely following the signage. Lots to see but be ready for the photo's that you have to pose for!

Our teenage boys absolutely loved it."
El clasico,"Reviewed April 10, 2016 ","Went for the clasico on 2nd April..went to collblanc metro, walked to the ground and had a beer at the outdoor bar that sits immediately next to the village entrance.. Was lovely...the stadium is magnificent when you at your seat, and hulking concrete monstrosity inside...More"
Dont go if you are not a football fanatic,"Reviewed April 10, 2016 ","All you see is video and trophies. If you are like me, not a big football fan then you will believe you wasted 23 euros."
Barca,"Reviewed April 10, 2016 ","This is the heaven of barca fan, if I allowed to used that words!
Located near the chemical faculty there is the stadium of one of the biggest club in the world barcelona!
You can take by the bus to go here or you can...More"
Just world class ,"Reviewed April 10, 2016 ",Amazing visit to the camp nou. We bought the package deal for the full tour. Amazing facilities inside the stadium. A must do for anyone who  appreciate a good football club
Breathtaking! ,"Reviewed April 10, 2016 ","My son is an avid football fan, he loves Manchester United and Barcelona. His favourite player is Neymar Jr, so he was so excited to be visiting the Camp Nou stadium. At 85€ for a family of four, it's not cheap, but it's a must...More"
A must see for all football fans,"Reviewed April 10, 2016 ",Definitely  pre book tickets great attraction husband loved it but I'm not a football fan and I found it very good too. A long day with a lot of walking so wear comfy shoes.
The real cathedral of Barcelona!,"Reviewed April 10, 2016 ",We went to both a match (Champions League against Atletico Madrid) and the stadium tour. The tour was busy - not as busy as I anticipated though and husband and kids loved it. I particularly liked the magnificently vertiginous press box. For all the moaning...More
Huge huge huge,"Reviewed April 10, 2016 ",This stadium is the biggest stadium in Europe. The tour is amazing. One and a half hour of visit in the big structure. Amazing view in each part of the building. Very recommended. You can also buy pieces of grass.... That are really expensive!!!
Great Tour!,"Reviewed April 10, 2016 ","Even if you are not a futbol fan, visiting the stadium is incredible. A must do if in Barcelona. We had a great time."
Fascinating for football fans,"Reviewed April 10, 2016 ",We took our 9 year old football made son here as a special treat. He absolutely loved it! Even my husband and I (who aren't football fans) found the breath of information/trophies etc. interesting. There is a lot to see and the pitch itself is...More
See a game if you can,"Reviewed April 10, 2016 ",If you are lucky enough to be in town when they are playing at home definitely see a game here. It was such a different experience than American sports and so fun to see. Less commercial stuff going on - pure sports and pure sports...More
Barcelona VS Arsenal,"Reviewed April 10, 2016 ","I was sitting at 228 line 9
very good place to see what is going on field but far from seeing the faces of players"
A must for Football  Lovers,"Reviewed April 10, 2016 ","If you a football lover then go for it....its one of a kind...
1) if there are no match going on then go for a tour of the Barcelona which incl visit to the museum which incl the trophies which the clum won since 1900...More"
Dream Come True,"Reviewed April 9, 2016 ","This was a must for me as I am a huge football fan. It was quite overwhelming. The sheer scale of the stadium from different points of the tour were breathtaking. Also, the Club Store makes Old Trafford's Megastors look like an Off Licence."
Day trip,"Reviewed April 9, 2016 ",Arrived mid morning we booked ahead  and didn't have to que up the boys loved going to the changing  rooms looking at the trophy room reading anout the history of Barcelona  football club they had a photo with cardboard  team player made to look as...More
Awesome!,"Reviewed April 9, 2016 ","We were lucky enough to get tickets to a champions league match and the atmosphere was amazing. We also did the museum and tour of the ground, well worth doing.  Tip when you book your tickets make sure that you check that there are no...More"
Well worth a visit,"Reviewed April 9, 2016 ","We liked being able to go around at our own pace, especially as it is very busy. Interesting museum, good access around the stadium, suprised by how dated it is and in need of repair."
"Expensive for what it was and not very accessible if you have mobility problems- so many steps, lack of access to lifts","Reviewed April 9, 2016 ",Have just got back from a family trip to Barcelona. As a 'must see ' destination we visited Camp Nou - or should that be Camp 'old' had to pay an extortionate €23 to look around just parts of the stadium and to be encouraged...More
Amazing Stadium,"Reviewed April 9, 2016 ","We were in Barcelona for the marathon and Barcelona were playing at home so it would have been rude not to go ! Amazing stadium, amazing team"
Great if your a Barcelona fan!!⚽️,"Reviewed April 9, 2016 ",We did the Barca tour which was a treat for us from our daughter. The staff on the entrance to the door were very friendly and their English is excellent. The tour itself was heaving even st this time of the year and given the...More
Awesome Soccer Stadium,"Reviewed April 9, 2016 ","Attended this place for the 2016 Spring ""El Classico"". The atmosphere before and during the game is epic!! Watching the players arrive and crowds of fans swarm their cars then to see the opposing team bus arrive. If you love soccer attending a game here...More"
My best team ,"Reviewed April 9, 2016 ",I was in Barcelona for few hours in last August 2015 due to my cruise trip and of course I can't come to Barcelona without visiting this famous sport landmark for the best team in the world.
Matchday tickets from the official barca app,"Reviewed April 9, 2016 ","It's easy to get tickets, the cheapest seats I booked on the day of the match. The view was great. It doesn't matter if you're not covered by the stand as the rain is not heavy, it's normally warm and it rarely actually does rain!...More"
What an Experience ,"Reviewed April 9, 2016 ",We arrived had a look around the outside then took the tour. €23 seems expensive but I think we got our monies worth. If you want the headphones that's another €5. Lots to see as you would expect. You then go out to see the...More
No visit to Barca without going here for football fans.,"Reviewed April 9, 2016 ","Whether you follow a small supported club or one of the top in the country, a visit to Nou Camp is worthwhile. Opportunities throughout the visit to grab your own pictures of trophies, the pitch, changing rooms and even from the height of the press...More"
Nice experience.,"Reviewed April 9, 2016 ",We did the 23 Euro Camp Nou experience and it was better than I expected.  Access to the field and throughout the stadium.  Several clean facilities and of course ample time to take pictures.  The photo book at the end of the tour is there...More
Football pilgrimage for FC Barcelona fans worldwide,"Reviewed April 9, 2016 ","When you love a football club like FC Barcelona and the players they've bred to win championships over the years, you have to visit the home where it all started. Some of the major games and an entire historical timeline of the club will explain...More"
Go to a game if you can!,"Reviewed April 9, 2016 ","We went to a match which was an incredible experience for any football fan (5). However, we were a bit disappointed by the tour we took the following day (3). You do get to see the away changing rooms (no luxuries here) , press room,...More"
Amazing experience,"Reviewed April 9, 2016 ","Ambiance is amazing. Also never seen 90.000 people go in a stadium and get out so fast...very good infrastructure. Go if you have a chance to see FCB play. It will be impossible to go to see the ""classico"" but the other games are very...More"
Great place to visit!,"Reviewed April 9, 2016 ","The tour here is really good, my 15 year old brother loved it. He had his photo taken in various places throughout the tour and at the end you could buy a photo book which was a really nice as a memory of our visit....More"
A must for football fans,"Reviewed April 9, 2016 ","Having visited Wembley, Arsenal and Leeds I knew what to expect. I was expecting pristine and opulent but this was not the feeling I had by the end of the tour. On arrival we were dealt with quickly and entered the first main display. Lots...More"
Mes que un club!!!,"Reviewed April 8, 2016 ",Well nothing to say. One of the best stadium in Europe. If you love blaugrana like I do you really have to go. The tour is really nice. And you get to see everything. Go Barca!
Barca,"Reviewed April 8, 2016 ","Took our 18yr Son he loved it and we'll worth a visit, An amazing stadium with so much to see, the only thing we didn't do is buy the photos overpriced and you are taken on a green screen but would be okay for younger...More"
Loved it,"Reviewed April 8, 2016 ",Booked tickets online through Viator which meant we had to collect them from Julia travel on Carrer de Balmes near Ramblas and Placa Catalunya. The assistant told us which day would be best to visit given part would be closed for the game between Real...More
Camp Nou,"Reviewed April 8, 2016 ",Just visited outside coz entry €23 each.  Had a nice visit anyway.  Shop expensive.  Nice bar.  Worth a visit.
Epic!!!!,"Reviewed April 8, 2016 ",If you love soccer you will love this stadium. The museum and the campus for this barcelona athletic club if top notch
A bit dated but what atmosphere!,"Reviewed April 8, 2016 ",The stadium is quite dated but entering and exiting are very well organised and it has all that's needed. Atmosphere was incredible during the game and I would definitely recommend going to see Barcelona play if you live football.
Lovely stadium - Well worth seeing,"Reviewed April 8, 2016 ","Stadium in great. Well looked after, clean and well structured. Only downfall is that the tour isn't really a tour. You need to walk around yourself. There's no guide. Also pictures are very expensive! one picture 20 euro! .."
Once in a lifetime!,"Reviewed April 8, 2016 ",Yes tickets are expensive for a match but you can't beat the atmosphere and experience. Easy to get to from the metro and lovely tapas bar nearby.
Unbeatable experience ,"Reviewed April 8, 2016 ",Visiting the camp Nou and waching the classico is a dream came true. I really enjoyed the visit and the atmosphere.
Superb!,"Reviewed April 8, 2016 ","A must see if you visit Barcelona.Even my wife,who has very little interest in sport,was impressed.You can spend all day in the stadium if you wish.Great to see all the trophies on display.We could even sit in the commentators' area at the top of the...More"
Very good,"Reviewed April 8, 2016 ","Located adjacent to Camp Nou Stadium, it houses quite big collection of FC Barcelona history. Layout is quite good, but can get a bit crowded.
Not as good as Real Madrid Museum for instance, but still highly recommended and worth visiting."
VIP tour of Camp Nou,"Reviewed April 8, 2016 ",We were on a corporate event and had reserved the VIP tour of Camp Nou. Apart from a guide and skipping the line (of which there was none) I failed to see what was VIP about this tour compared to just buying a ticket for...More
Must see,"Reviewed April 8, 2016 ","Spectacular stadium with great tourist tour and rich museum. Totally worth the visit. You can skip the tourist visit if you manage to get some game tickets. Now that is some powerful emotion that is hard to explain. If you like football, you must visit...More"
Barcelona v Atletico Madrid match!,"Reviewed April 8, 2016 ","Fantastic experience, great atmosphere. 
We bought the Camp Nou museum experience but due to the match we couldn't visit, so we decided to buy tickets for the match instead!!"
Barca's Best,"Reviewed April 7, 2016 ","It is THE Place to be , for football fans!! It feels amasing to see and walk in the venue where some of the best football players, legents, have played! The tour is excellent."
Barcelona v Atletico  Madrid ,"Reviewed April 7, 2016 ",We went to the stadium to watch a Champions League game on a Tuesday night me and my son. I booked our tickets on the day of the game on the Internet in English and it was all very easy. Once booked the tickets were...More
"Interesting, even for non-football fans","Reviewed April 7, 2016 ",We were a little unsure about taking this tour because of the cost but it was actually really interesting.  The museum part of the tour is probably for hardcore football fans but the tour of the stadium is very good.
Barca Vs. atletico,"Reviewed April 7, 2016 ","Best football stadium I've ever been too, with the best atmosphere! We had brilliant tickets near the front, and the whole experience was phenomenal."
Go Barca ,"Reviewed April 7, 2016 ",We recommend this visit to who is a big soccer fan like us. My husband is a great fan the Barcelona and Messi. For him was a dream come true.
Fascinating even if you don't like football!,"Reviewed April 7, 2016 ",I was initially unsure about visiting here as it was quite expensive for a family of six to tour.  We all really enjoyed it though and enjoyed the stadium part of the tour much more than the museum. Seeing inside the changing rooms and the...More
Great experience,"Reviewed April 7, 2016 ",Was lucky enough to go to the home leg of the Champions League quarter final against Athletico Madrid. Great atmosphere and fabulous experience. Thoroughly recommend if opportunity arises.
Soccer Mecca,"Reviewed April 7, 2016 ",The reason for our visit was to watch FC Barclona play two matches. After that we did the Camp Nou experience. I will go back every time I'm in Barcelona. For any soccer lover or even the casual fan this a must visit. So much...More
No interest whatsoever,"Reviewed April 7, 2016 ",May be worth buying a ticket for a match because the museum is just ok (you can see the won cups) and the tour has nothing special/interesting. Definitely not worth the money.
Amazing,"Reviewed April 7, 2016 ","I attended el clasico on 2 April between Barca and Real Madrid. The stadium is unbelievable. Imagine 99,500 passionate Catalans!
As it was Barca played poorly! Messi,Suarez and Neymar had one shot on target in 90 minutes and Real Madrid deservedly won.
Go to a...More"
Enjoyable football ground tour.,"Reviewed April 7, 2016 ","The organisation of the tour could be a lot better.  Perhaps more signage.  Well worth it to get a feel of the history of the club and see the magnificent trophy room. Great access to press,media, dressing room etc."
Must do for football lovers - Camp Nou,"Reviewed April 7, 2016 ","The club museum itself is great. It has all the things you would expect, tops, trophies, club history and artefacts. There are plenty of interactive displays with video clips etc. Don't expect a guided tour with the Camp Nou experience as it is self guided....More"
Fantastic place!!,"Reviewed April 7, 2016 ","I not a lover of soccer but this place is amazing!! Went here with my 14 yrs son, we did the Museum & had a Panoramic View of the Stadium. 
The Museum is very informative, & it was great to see all trophies & cup...More"
Barca v Athletico,"Reviewed April 7, 2016 ",Great venue to watch football and was suitably impressed that even seats behind the goal were actually really good.  That said though food / drink options were pretty limited.
nice to visit even if you are a big fan of soccer or not,"Reviewed April 7, 2016 ",we was taking the FC Barcelona Football Stadium Tour and Museum and was enough for us. you can even make pictures with your favoriteplayer from FC Barcelona!
Great place ,"Reviewed April 6, 2016 ","We went on the advice of my eldest son, we went on the hop on and off tour bus so pulled up right outside.
Was a feeling of excitement when we arrived knowing it was such a fantastic football team
We didn't take the tour...More"
amazing and worh the tour,"Reviewed April 6, 2016 ",Self guided tour-  but worth the price.  Fun and impressive.  Take the time to see what it would feel lie to attend a match day event.
Brilliant morning out,"Reviewed April 6, 2016 ","Whether you are a football fan or not, this stadium is amazing. We did the self tour and found it enough. Make sure you bring your walking shoes."
Oh to be a footballer :),"Reviewed April 6, 2016 ",This was a great booking. Booked this online. We didn't need to queue. Loved the tour and seeing the grounds  and being able to step onto the grounds. Shame not allowed on the pitch. But we could go and sit and see the view. We...More
What's the point,"Reviewed April 6, 2016 ","Just drove by on the open top touring bus.  Cannot imagine how this empty stadium is a top attraction in Barcelona.  They even have a team museum, that's hilarious.  If one likes football, one goes to a game.  One does not go to an empty...More"
Good but not incredible,"Reviewed April 6, 2016 ","Bought ticks in advance to avoid the queues.
A few glitches on their website( promo codes didn't work, also note if using e-wallet on iphone or android as advertised they can't scan them - you need the pdf)
They charge extra for audio #5 euros...More"
The boys loved it,"Reviewed April 6, 2016 ",see golden boots and balls - not to be missed if you have football fans in the family. Also got to see a Champions league match - fab !!
Louis Suárez your teeth are offside,"Reviewed April 6, 2016 ","Apart from the buck toothed striker this was one of the best experiences a football fan can have. Amazing football, players, atmosphere and locals. A must for any fan no matter who you support."
Great opportunity to visit the capital of soccer!,"Reviewed April 6, 2016 ","This is the largest stadium in Europe. Unique. It will be renewed soon. Until then, the museum is the highlight: 5 Champions!"
Interesting ,"Reviewed April 5, 2016 ","We visited with our 15 year old son, who thoroughly enjoyed it, and I did too. The trophy room told the story of Barca's incredible history, with lots of video content and interactive screens which the kids (& male adults, me included!) enjoyed using.

The...More"
Daughter's dream come true,"Reviewed April 5, 2016 ","Our daughter is an a soccer player and avid Barca fan. Her dream was to visit the stadium and see them play in person, both of which we did.  Biggest thrill was to go through the locker room and out the tunnel to the player...More"
Pretty impressive,"Reviewed April 5, 2016 ","My 14 year old daughter and I aren't the biggest soccer fans in the world, but my 12 year old son and husband love it.  When we left, even my daughter said she really enjoyed it and it was really cool.  There was a line...More"
amazing footbal temple.,"Reviewed April 5, 2016 ","Great historia, And great stadium. To bad i couldnt visit this temple while i was here. Hope i can see them play life some time here."
Great stadium,"Reviewed April 5, 2016 ","Attended the Clasico and wasn't disappointed. Even from the highest seats possible, the view of the pitch play is excellent, plus you get a great city view too! Don't buy in the shop....the prices are extraordinary, and you can get official merchandise cheaper in town."
Great day out,"Reviewed April 5, 2016 ","Had a great tour of the stadium. Very informative about the club history and honours. Best to book in advance. Had plenty of time to browse trophy room and stadium areas. 
I would say that the shop merchandise appears very over priced!"
Tour of stadium,"Reviewed April 5, 2016 ",We visited Barcelona on a big football tour.  As part of the package was the trip to visit camp nou.  Unfortunately it was more of an exhibition rather than a tour of the stadium as we only got to visit the museum and look over...More
Ballon D'ors and Trophies galore,"Reviewed April 5, 2016 ","Football fans must see this.

Well thought out and presented. You really get a sense of the great achievements of Messi and the whole club.

Particularly in the calender year of 2009 when they won 6 major trophies. copa del Rey, La Liga, UEFA Champions...More"
El Clasico,"Reviewed April 5, 2016 ","A truly once in a lifetime, unbelievable, astonishing experience.

Electric atmosphere, VIP catering in the Barcelona Museum, top seats to the biggest club football match in the World.

Messi, Ronaldo, Suarez, Neymar, Bale

Unforgettable, truly amazing."
A stadium to remember,"Reviewed April 5, 2016 ","The nou camp is a stadium to remember, nice, comfortable and full of great historical moments, shape and height allow to enjoy the game from any angle, and the sound is full, allowing you to enjoy the game a lot. When the club scores a...More"
A must do visit for any football fan coming to Barcelona,"Reviewed April 5, 2016 ","The museum is fantastic with a huge selection of football treasures covering the past 100 years.  The tour of the stadium is excellent and includes the dressing rooms, press rooms, pitch and both lower stands and upper stands.  The cost of admission to the museum...More"
A must for any football fan,"Reviewed April 4, 2016 ",Fab time... Well worth it. Gets very busy but you go around at your own pace. Lots of photo opportunities.
A truly uniqe expereince!,"Reviewed April 4, 2016 ","It was my second time to take the Camp Nou Museum & Stadium tour. You start with the museum and make your way down to the history and trophies won by Barca, and then inside Camp Nou where you once dreamt of, you can access...More"
Birthday visit for Grandson,"Reviewed April 4, 2016 ","A tenth birthday treat here for our Grandson, it made his weekend, allow at least 2 hrs as there is so much to see.
Recommended if your a football fan."
Must visit place,"Reviewed April 4, 2016 ",if you are a soccer fan then you must visit FC barcelona once in your life time. wow what a great feeling
El Classico!!!!,"Reviewed April 4, 2016 ",Best footballing experience of my life!! Would recommend anyone who can afford to get hold of a ticket for this game to go when they can!! Special game with some special players! Best atmosphere I've experienced in a stadium! I also went on the tour...More
Really let down,"Reviewed April 4, 2016 ","My husband is a massive football fan and after booking this trip, booked tickets online for here for 23 euro. Just a general entrance ticket, didn't say anything online about dates with limited access to grounds. Well turned up today on last day of holidays...More"
Well worth a visit. Easy to reach on Metro and not too crowded,"Reviewed April 4, 2016 ",This is a must see even for non football fan. Very easy and very interesting with excellent catering too.
"Jaw dropping, even if you are not a Football fan.","Reviewed April 4, 2016 ","BRILLIANT just BRILLIANT!!
The Trophy room is just amazing take a photo with the flash on and all you get is flash, so much Silverware!!
The Audio tour is well worth it as so much history has been and gone since 1899.
You go to...More"
Had the ground and trophy room tour,"Reviewed April 4, 2016 ",A truely incredible experience! Never will forget going round the amazing stadium and looking around the trophy rooms! A must do for all football fans! Also attended a game which was on the bucket list! Unforgettable memories!
Watching the game Barcelona - Getafe,"Reviewed April 4, 2016 ","I""ll thought Barcelona has to play on March 13.
Because of our cruise I'll miss the game but suddenly I saw a sign which says March 12.
On Plaza Catalunya I'll bought my tickets at a general kiosk.
Just leave on time to watch a...More"
"Must do, for soccer fans","Reviewed April 4, 2016 ","This is very nice place, very touristic.
There you gonna find lot´s about football history, of course most about Barcelona.
Nice place, but for 24euros they could provide visitor some kind of souvenir, just a symbolic toy. but NO"
El Classico at Camp Nou,"Reviewed April 4, 2016 ","The stadium is awesome, holds just under 100,000 fans and is steep which adds to the atmosphere. We also saw a game in Madrid at the Bernabau on this trip and Camp Nou was just as easy to access but the atmosphere around the ground...More"
A must see!!!,"Reviewed April 4, 2016 ","Attended the Barca Vs Arsenal game and it was a lifetime experience! The vibe is great, if you can afford it definitely go!"
Great for fans and non-fans alike,"Reviewed April 4, 2016 ","This is an extremily well-done exhibit allowing you a closer look a the successful team. From trophy displays, jerseys, and a trip to the visiting locker room to the view of the field from up high and down low, this is a great tour well...More"
Sports Fans will love it.,"Reviewed April 3, 2016 ",Its incredibly large.  I'm not a Barcelona fan but I really enjoyed the tour.  You get to see the VIP side of the stadium and will be ever appreciate the soccer games when you watch them on TV.
I was a fan for the day!,"Reviewed April 3, 2016 ","I'm not into soccer, nor do I care much about it but when my friend asked me to join her in visiting the stadium I agreed as she did the same for me. Once we had arrived (By the red bus hop-on hop-off bus) I...More"
More than a club! Mes que un club.,"Reviewed April 3, 2016 ","The exterior of the stadium is somewhat underwhelming – but once you get inside the facilities are staggering. Having seen several English Premier League Stadia - I can honestly say that the Nou camp is in a different league!
We've been lucky enough to see...More"
Football heaven,"Reviewed April 3, 2016 ","This is a temple of football. You will see the story of success in football. Yes, it is a typical tourist attraction, but football fans, especially FCB fans will really enjoy this place. I had enjoyed it !!!"
Take it or leave it,"Reviewed April 3, 2016 ","Not being a football fan not sure I should be reviewing this - that said we went to get our grandson a strip for his birthday - the store was very busy and expensive but it has to be done when in Barcelona, apparently!
We...More"
Definitely a must see,"Reviewed April 3, 2016 ",Its a must to see this place. You can never leave Barcelona without visiting the home of FCB! Very interesting place to learn the history of FCB football team. Although it's really crowded but its worth the wait.
Great place to visit but don't bother pre-booking,"Reviewed April 3, 2016 ","Don't bother pre-booking. Even with your printed out confirmation or on your phone, you still have to queue to get your printed tickets. It's better to go to the express tickets kiosk and buy them there, with hardly any queueing to do.  It's no cheaper...More"
Nice tour,"Reviewed April 3, 2016 ",Lots of people as expected. Lots of info about the team legacy and all the trophys they have achieved. Lots of stairs and push/pay fake photo set-ups. Great to see the area for a fan but I would say it is enough to just go...More
Passionless,"Reviewed April 3, 2016 ","No tour guide.  But very organized., Abit chaos because AL of the people. A lot to see boring that you can't sit on the bench and pressroom.  You are just aloud to visit de visitors changing room."
WHAT A STADIUM.,"Reviewed April 3, 2016 ",We spent 5 hours at the stadium 'The Camp Nou' experience is well worth it I believe it costs around €45 for the two of us and well we spent 5 hours there so as you can tell it's worth the money! There's lots to...More
Not spectacular,"Reviewed April 3, 2016 ","Boyfriend was more into the idea than myself, but you can't come to Barca and not go!
Tickets €23 each, so not cheap, but it's easy enough to get there on one metro line. 
Plenty to see in the first section, lots of history about...More"
Amazing experience ,"Reviewed April 3, 2016 ","Amazing atmosphere! Go see a match if you're in town...proper fans. See El Classico if you can, next level stuff.

Easy stadium to get to & get home from, despite 90 000 fans.

Friendly stewards & family atmosphere.

Well priced food & drinks (unlike UK)!"
A must see for football fans and non football fans!,"Reviewed April 3, 2016 ","Travelling with 3 sons and a partner, all football fans, I didn't have a choice visiting the stadium however I found it really interesting and the size of the stadium was vast.  You get to see the away team's changing rooms and the array of...More"
El classico ,"Reviewed April 2, 2016 ",So we saw the biggest match of the year.  The places was good and the atmosphere was real lokal where we sat. Bad thing with thus arena the don't have a monitor.  Good thing the have WiFi like Santiago bernabue.
Camp nou,"Reviewed April 2, 2016 ",Great experience if you want to enjoy seeing barça in our stadium. The prices of tickets depends of the zone that you go. Even though you can find tickets for 13€ the cheapest ticket.
Fabulous for Barcelona Futbol fans....,"Reviewed April 2, 2016 ","I am not a huge futbol fan, but my husband and son are.  The museum-stadium experience is very complete, with access to diverse levels of the stadium, and very substantial documentation (historical artifacts, lots of trophies and extensive video documentation that you can pick and...More"
iconic stadium,"Reviewed April 2, 2016 ","We visited here over Easter, good tour for 19 euros pp, go at your own pace not rushed as your not with a guide. We qued for tickets and only took 5 minutes even tho it was busy. Great for pictures in the stadium. Finishes...More"
Camp Nou,"Reviewed April 2, 2016 ",This is the second largest Stadium  in the  world the atmosphere in here is unbelievable 😂😂😂😂 best place to watch soccer match.
Not to be missed! ,"Reviewed April 2, 2016 ",Fantastic museum & stadium tour. Hadn't booked tickets & the queues looked long but they were so efficient that everyone was served very quickly. We were there for 4 hours & felt it was good value for money. The shop was amazing & had a...More
If you like football it's a must,"Reviewed April 2, 2016 ","If you are a football fan I think it's a good place to visit, it's a little expensive but totally worth it"
Worth a visit,"Reviewed April 2, 2016 ",Enjoyed the Camp Nou museum/self guided tour experience. Lots of silverware (of course!) and other artefacts to look at. The tour allows you to go out into the stadium as well as up to the top to the broadcaster box. Enjoyed walking down the players'...More
"Worth going, but be careful when buying tickets","Reviewed April 2, 2016 ","The outside is much more impressive than once inside.  The outside is very modern and has some attractions before games, including an impressive gift / team shop.  They do not serve alcohol before and during games.  Only non-alcoholic beer is available as much as 3...More"
