Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Donkey Kong GB: Dinky Kong & Dixie Kong,GB,2000,Platform,Nintendo,0,0,0.28,0,0.28
Kobitodzukan: Kobito Kansatsu Set,3DS,2012,Misc,Nippon Columbia,0,0,0.28,0,0.28
ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.26,0,0,0.02,0.28
Pro Evolution Soccer 2013,PSP,2012,Sports,Konami Digital Entertainment,0,0.07,0.18,0.03,0.28
Deadpool,PS4,2015,Action,Activision,0.13,0.1,0,0.05,0.28
Nichibutsu Arcade Classics,SNES,1995,Misc,Nichibutsu,0,0,0.28,0,0.28
Kenka Bancho: Badass Rumble,PSP,2008,Action,Spike,0.06,0,0.2,0.01,0.27
Cabela's Trophy Bucks,PS2,2007,Sports,Activision Value,0.13,0.11,0,0.04,0.27
Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007,Misc,Nintendo,0,0,0.27,0,0.27
Q-Ball: Billiards Master,PS2,2000,Sports,Take-Two Interactive,0.13,0.1,0,0.04,0.27
Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0,0,0.27
How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.05,0.2,0,0.02,0.27
Boogie,DS,2007,Misc,Electronic Arts,0.25,0,0,0.02,0.27
Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0,0.01,0.27
Rapala Pro Bass Fishing 2010,PS3,2010,Sports,Activision,0.18,0.06,0,0.03,0.27
Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,1996,Fighting,Tomy Corporation,0,0,0.26,0.02,0.27
Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,0.21,0.06,0,0.01,0.27
The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,N/A,Action,N/A,0,0,0.27,0.01,0.27
Motocross Maniacs Advance,GBA,2002,Racing,Konami Digital Entertainment,0.2,0.07,0,0,0.27
Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,0,0,0.26,0.02,0.27
Dynasty Warriors,PS,1997,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27
M&M's Blast!,GBA,2001,Puzzle,Unknown,0.2,0.07,0,0,0.27
Zumba Fitness: World Party,Wii,2013,Misc,Majesco Entertainment,0.14,0.11,0,0.03,0.27
Need for Speed: Most Wanted,DS,2005,Racing,Electronic Arts,0.24,0.01,0,0.02,0.27
Final Fantasy X International,PS2,2004,Role-Playing,Square Enix,0,0,0.27,0,0.27
Tiny Toon Adventures: Plucky's Big Adventure,PS,2001,Action,Conspiracy Entertainment,0.15,0.1,0,0.02,0.27
NHL Hitz 20-02,XB,2001,Sports,Midway Games,0.2,0.06,0,0.01,0.27
Iron Man 2,X360,2010,Action,Sega,0.15,0.1,0,0.03,0.27
Indy 500,2600,N/A,Racing,Atari,0.26,0.01,0,0,0.27
Littlest Pet Shop: Beach Friends,DS,2009,Simulation,Electronic Arts,0.25,0,0,0.02,0.27
Trivial Pursuit,PS2,2009,Misc,Electronic Arts,0.09,0.01,0,0.17,0.27
Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01,0.27
Evil Dead: Hail to the King,PS,2000,Adventure,THQ,0.15,0.1,0,0.02,0.27
Dragon Ball GT: Final Bout,PS,1997,Fighting,Namco Bandai Games,0.02,0.02,0.22,0.02,0.27
Burstrick: Wake Boarding!!,PS,2000,Sports,Natsume,0.15,0.1,0,0.02,0.27
Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,0.15,0.1,0,0.02,0.27
Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.09,0.12,0.02,0.04,0.27
R.U.S.E.,X360,2010,Strategy,Ubisoft,0.12,0.12,0,0.03,0.27
Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0,0.19,0.01,0.27
Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.12,0.03,0.11,0.01,0.27
Pac-Pix,DS,2005,Puzzle,Namco Bandai Games,0.16,0,0.1,0.01,0.27
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0,0,0.27
EyePet,PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0,0.09,0.27
The Evil Within,PC,2014,Action,Bethesda Softworks,0.09,0.16,0,0.02,0.27
Athens 2004,PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.27
Gunship,PS,1996,Simulation,Microprose,0.15,0.1,0,0.02,0.27
Jikkyou Powerful Pro Yakyuu Portable 4,PSP,2009,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
SD Gundam G Generation Portable,PSP,2006,Strategy,Namco Bandai Games,0,0,0.27,0,0.27
Sydney 2000,PS,2000,Sports,Eidos Interactive,0.15,0.1,0,0.02,0.27
Pro Race Driver,PS2,2002,Racing,Codemasters,0.13,0.1,0,0.03,0.27
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,Nintendo,0.21,0.05,0,0.01,0.27
Bishoujo Senshi Sailormoon R,SNES,1993,Fighting,Namco Bandai Games,0,0,0.27,0,0.27
The Club,X360,2008,Shooter,Sega,0.15,0.1,0,0.02,0.27
Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,Sports,Namco Bandai Games,0,0,0.27,0,0.27
Rhythm Thief & the Emperor's Treasure,3DS,2012,Misc,Sega,0.07,0.07,0.12,0.01,0.27
Rocky: Legends,PS2,2004,Action,Ubisoft,0.13,0.1,0,0.03,0.27
NickToons: Racing,GBA,2002,Racing,Infogrames,0.19,0.07,0,0,0.27
MotionSports: Adrenaline,X360,2011,Sports,Ubisoft,0.14,0.1,0,0.03,0.27
Tiger Woods PGA Tour 07,PSP,2006,Sports,Electronic Arts,0.2,0.04,0,0.04,0.27
Gun,X360,N/A,Shooter,Activision,0.24,0.01,0,0.02,0.27
NHL 07,X360,2006,Sports,Electronic Arts,0.25,0.01,0,0.02,0.27
Flag Capture,2600,N/A,Action,Atari,0.25,0.02,0,0,0.27
Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0,0.27
G-Force,PS2,2009,Action,Disney Interactive Studios,0.12,0.01,0,0.14,0.27
LEGO Harry Potter: Years 5-7,PSP,N/A,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0,0.06,0.27
The Adventures of Tintin: The Game,PS3,2011,Action,Ubisoft,0.06,0.16,0,0.05,0.27
RalliSport Challenge 2,XB,2004,Racing,Microsoft Game Studios,0.18,0.08,0,0.01,0.27
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,1996,Role-Playing,ChunSoft,0,0,0.27,0,0.27
Wave Rally,PS2,2001,Racing,Eidos Interactive,0.13,0.1,0,0.03,0.27
Over the Hedge,GBA,2006,Platform,Activision,0.19,0.07,0,0,0.27
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.1,0.08,0.06,0.04,0.27
Disney's Chicken Little,GC,2005,Platform,Disney Interactive Studios,0.21,0.05,0,0.01,0.27
Battle of Giants: Mutant Insects,DS,2010,Strategy,Ubisoft,0.09,0.15,0,0.03,0.27
Ty the Tasmanian Tiger,GC,2002,Platform,Electronic Arts,0.21,0.05,0,0.01,0.27
Sengoku Basara 4,PS3,2014,Action,Capcom,0,0,0.27,0,0.27
Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0,0,0.26,0.01,0.27
WWE Road to WrestleMania X8,GBA,2002,Fighting,THQ,0.19,0.07,0,0,0.27
Medarot 3: Kabuto / Kuwagata Version,GB,2000,Role-Playing,Imagineer,0,0,0.27,0,0.27
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,Square Enix,0.13,0.1,0,0.03,0.27
Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.08,0.14,0,0.05,0.27
NASCAR 06: Total Team Control,XB,2005,Racing,Electronic Arts,0.2,0.06,0,0.01,0.27
Bratz: The Movie,Wii,2007,Simulation,THQ,0.24,0.01,0,0.02,0.27
BloodRayne 2,PS2,2004,Shooter,THQ,0.13,0.1,0,0.03,0.27
Spider-Man: Web of Shadows,PS3,2008,Action,Activision,0.2,0.04,0,0.03,0.27
NHL 2002,XB,2001,Sports,Electronic Arts,0.2,0.06,0,0.01,0.27
Reader Rabbit Kindergarten,DS,2008,Misc,Nordic Games,0.25,0,0,0.02,0.27
Tropico 4,PC,2011,Strategy,Kalypso Media,0.1,0.13,0,0.04,0.27
NBA In The Zone '98,N64,1997,Sports,Konami Digital Entertainment,0.25,0.02,0,0,0.27
Jikkyou Powerful Pro Yakyuu 5,N64,1998,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
NBA Jam 99,N64,1998,Sports,Acclaim Entertainment,0.25,0.02,0,0,0.27
Shadow Man,N64,1999,Action,Acclaim Entertainment,0.18,0.08,0,0.01,0.27
Command & Conquer,N64,1999,Strategy,Nintendo,0.22,0.05,0,0,0.27
Call of Juarez: The Cartel,X360,2011,Shooter,Ubisoft,0.14,0.11,0,0.03,0.27
Shadow of Rome,PS2,2005,Action,Capcom,0.13,0.1,0,0.03,0.27
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,2012,Action,Nintendo,0,0,0.27,0,0.27
Tales of Eternia,PSP,2005,Role-Playing,Ubisoft,0,0.01,0.25,0.01,0.27
Harry Potter and the Order of the Phoenix,PS2,2007,Action,Electronic Arts,0.13,0.1,0,0.03,0.27
Ben 10 Triple Pack,DS,2011,Misc,D3Publisher,0.13,0.12,0,0.03,0.27
Need for Speed Rivals,PC,2013,Racing,Electronic Arts,0.04,0.19,0,0.04,0.27
Stuntman: Ignition,PS2,2007,Racing,THQ,0.13,0.1,0,0.03,0.27
Fantastic 4,XB,2005,Action,Activision,0.2,0.06,0,0.01,0.27
Mat Hoffman's Pro BMX,GBA,2001,Sports,Activision,0.19,0.07,0,0,0.27
MotoGP,PS2,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27
The Penguins of Madagascar,DS,2010,Action,THQ,0.13,0.12,0,0.02,0.27
Summer Athletics: The Ultimate Challenge (US sales),Wii,2008,Sports,DTP Entertainment,0.23,0.04,0,0,0.27
Rock Revolution,X360,2008,Misc,Konami Digital Entertainment,0.25,0,0,0.02,0.27
Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,Atlus,0.1,0,0.16,0.01,0.27
LEGO The Hobbit,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0,0.02,0.27
Jikkyou Powerful Pro Yakyuu 2,SNES,1995,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
The Incredible Hulk,PS3,2008,Action,Sega,0.22,0.03,0,0.03,0.27
Resident Evil: Revelations,X360,2013,Action,Capcom,0.12,0.11,0.02,0.02,0.27
Major League Baseball 2K10,Wii,2010,Sports,Take-Two Interactive,0.25,0,0,0.02,0.27
NASCAR 2011: The Game,PS3,2011,Racing,Activision,0.25,0,0,0.02,0.27
Thoroughbred Breeder II,SNES,1994,Simulation,Hect,0,0,0.27,0,0.27
Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,Atlus,0.14,0,0.12,0.01,0.27
Magical Vacation,GBA,2001,Role-Playing,Nintendo,0,0,0.26,0.01,0.27
XGIII: Extreme G Racing,PS2,2001,Racing,Acclaim Entertainment,0.13,0.1,0,0.03,0.27
NBA Live 2004,GC,2003,Sports,Electronic Arts,0.21,0.05,0,0.01,0.27
Dragon Ball: XenoVerse,X360,2015,Fighting,Namco Bandai Games,0.16,0.08,0,0.02,0.27
NASCAR Thunder 2003,XB,2002,Racing,Electronic Arts,0.2,0.06,0,0.01,0.27
Section 8,X360,2009,Shooter,SouthPeak Games,0.15,0.09,0,0.03,0.27
Superbike 2000,PS,1999,Racing,Electronic Arts,0.15,0.1,0,0.02,0.27
America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0,0,0.02,0.27
Final Fantasy XI: Ultimate Collection,X360,2009,Role-Playing,Square Enix,0.25,0,0,0.02,0.27
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,2010,Strategy,Nintendo,0,0,0.27,0,0.27
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.01,0.21,0.01,0.04,0.27
Connect Four / Perfection / Trouble,GBA,2005,Misc,Zoo Digital Publishing,0.19,0.07,0,0,0.27
Wipeout 2,X360,2011,Misc,Activision,0.25,0,0,0.02,0.27
Ratatouille,X360,2007,Action,THQ,0.23,0.02,0,0.02,0.27
The Incredible Hulk,X360,2008,Action,Sega,0.22,0.03,0,0.02,0.27
Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009,Misc,Take-Two Interactive,0.24,0.01,0,0.02,0.27
Alundra 2: A New Legend Begins,PS,1999,Role-Playing,Activision,0.15,0.1,0,0.02,0.27
Reign of Fire,PS2,2002,Shooter,BAM! Entertainment,0.13,0.1,0,0.03,0.27
Scooby-Doo! and the Spooky Swamp,PS2,2010,Action,Warner Bros. Interactive Entertainment,0.08,0.11,0,0.08,0.27
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998,Sports,Konami Digital Entertainment,0,0,0.25,0.02,0.27
Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.27,0,0.27
The Sims 2: Pets,GC,2006,Simulation,Electronic Arts,0.21,0.05,0,0.01,0.27
Cake Mania 2: Jill's Next Adventure!,DS,2008,Puzzle,Majesco Entertainment,0.24,0,0,0.02,0.27
Batman: Arkham Origins Blackgate,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0,0.02,0.27
The BIGS,X360,2007,Sports,Take-Two Interactive,0.18,0.08,0,0,0.27
Initial D: Special Stage,PS2,2003,Racing,Sega,0,0,0.27,0,0.27
Madden NFL 08,DS,2007,Sports,Electronic Arts,0.24,0,0,0.02,0.27
Jurassic Park: Operation Genesis,PS2,2003,Simulation,Konami Digital Entertainment,0.13,0.1,0,0.03,0.27
Family Feud: 2010 Edition,DS,2009,Misc,Ubisoft,0.25,0,0,0.02,0.27
Final Doom,PS,1995,Shooter,GT Interactive,0.15,0.1,0,0.02,0.27
Deadly Premonition,X360,2010,Action,Rising Star Games,0.18,0.06,0,0.02,0.27
Rock Revolution,PS3,N/A,Misc,Unknown,0.25,0,0,0.02,0.27
Are You Smarter than a 5th Grader? Game Time,Wii,2009,Puzzle,THQ,0.25,0,0,0.02,0.27
NBA ShootOut 2001,PS,2000,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.27
Knockout Kings 2002,XB,2002,Sports,Electronic Arts,0.2,0.06,0,0.01,0.27
Wipeout 2,DS,2011,Misc,Activision,0.25,0,0,0.02,0.27
Payday 2,PS4,2015,Shooter,505 Games,0.09,0.14,0,0.04,0.27
Ultimate NES Remix,3DS,2014,Action,Unknown,0.15,0.09,0,0.02,0.27
Megamind: The Blue Defender,DS,2010,Adventure,THQ,0.19,0.05,0,0.02,0.27
NFL Street 3,PSP,2006,Sports,Electronic Arts,0.24,0,0,0.02,0.27
Battle Arena Toshinden 3,PS,1996,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27
Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,2014,Adventure,Activision,0.11,0.11,0,0.05,0.27
Jade Cocoon: Story of the Tamamayu,PS,1998,Role-Playing,Crave Entertainment,0.15,0.1,0,0.02,0.27
Super Nazo Puyo: Ruruu no Ruu,SNES,1995,Puzzle,Banpresto,0,0,0.27,0,0.27
Cabela's Big Game Hunter 2010,X360,2009,Sports,Activision Value,0.25,0,0,0.02,0.27
InuYasha: Feudal Combat,PS2,2005,Fighting,Namco Bandai Games,0.13,0.1,0,0.03,0.27
Duel Masters,PS2,2004,Strategy,Atari,0.13,0.1,0,0.03,0.27
Ninja Gaiden Sigma,PSV,2012,Action,Tecmo Koei,0.13,0.06,0.04,0.04,0.27
Super Collapse! 3,DS,2007,Puzzle,Mumbo Jumbo,0.25,0,0,0.02,0.27
Superman Returns,X360,2006,Action,Electronic Arts,0.23,0.02,0,0.02,0.27
The Dog Island,PS2,2007,Adventure,Ubisoft,0.13,0.1,0,0.03,0.27
My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,Misc,Mentor Interactive,0.25,0,0,0.02,0.27
Dynasty Warriors Next,PSV,2011,Action,Tecmo Koei,0.06,0.07,0.11,0.03,0.27
Major League Baseball 2K9,Wii,2009,Sports,Take-Two Interactive,0.25,0,0,0.02,0.27
Jikkyou Powerful Pro Yakyuu 2010,PS3,2010,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
Operation Armored Liberty,GBA,2003,Action,Majesco Entertainment,0.19,0.07,0,0,0.27
Rory McIlroy PGA Tour,XOne,2015,Action,Electronic Arts,0.15,0.09,0,0.02,0.27
Dynasty Warriors 7: Xtreme Legends,PS3,2011,Action,Tecmo Koei,0.04,0.05,0.16,0.02,0.27
Summer Sports 2: Island Sports Party,Wii,2008,Sports,Ubisoft,0.24,0,0,0.02,0.27
Imagine: Fashion Party,Wii,2009,Simulation,Ubisoft,0.25,0,0,0.02,0.27
Fish Tycoon,DS,2007,Simulation,Majesco Entertainment,0.24,0,0,0.02,0.27
Scene It? Twilight,Wii,2009,Misc,Konami Digital Entertainment,0.16,0.08,0,0.02,0.27
And1 Streetball,PS2,2006,Action,Ubisoft,0.13,0.1,0,0.03,0.27
Don King Boxing,Wii,2009,Sports,Take-Two Interactive,0.14,0.1,0,0.03,0.27
Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.27
Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.06,0,0.02,0.27
Dragon Ball Z: Tenkaichi Tag Team,PSP,2010,Fighting,Namco Bandai Games,0.11,0.04,0.09,0.03,0.27
Sonic X: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.19,0.07,0,0,0.27
ESPN NBA Basketball,XB,2003,Sports,Sega,0.2,0.06,0,0.01,0.27
Gallop Racer 2: One and Only Road to Victory,PS,1997,Sports,Tecmo Koei,0,0,0.25,0.02,0.27
NBA 07,PS3,2006,Sports,Sony Computer Entertainment,0.24,0,0.01,0.02,0.26
Lowrider,PS2,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26
Reload: Target Down,Wii,2010,Shooter,Mastiff,0.25,0,0,0.02,0.26
All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26
Dungeons & Dragons: Eye of the Beholder,GBA,2002,Role-Playing,Atari,0.19,0.07,0,0,0.26
The Crew,X360,2014,Racing,Ubisoft,0.06,0.18,0,0.02,0.26
"Barbie: Jet, Set & Style!",Wii,2011,Misc,THQ,0.23,0.01,0,0.02,0.26
Battlestations: Midway,X360,2007,Strategy,Eidos Interactive,0.21,0.02,0,0.02,0.26
Rayman DS,DS,2005,Platform,Ubisoft,0.21,0.04,0,0.02,0.26
Gundam Breaker,PS3,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26
The House of the Dead 2,DC,1998,Shooter,Sega,0,0,0.26,0,0.26
Create,Wii,2010,Action,Electronic Arts,0.22,0.03,0,0.02,0.26
A.C.E.: Another Century's Episode R,PS3,2010,Simulation,Namco Bandai Games,0,0,0.26,0,0.26
Littlest Pet Shop: Friends,Wii,2009,Simulation,Electronic Arts,0.22,0.02,0,0.02,0.26
Rune: Viking Warlord,PS2,2001,Action,Take-Two Interactive,0.13,0.1,0,0.03,0.26
Panzer Dragoon Orta,XB,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26
Jikkyou Powerful Pro Yakyuu '99 Ketteiban,PS,1999,Sports,Konami Digital Entertainment,0,0,0.25,0.02,0.26
Dragon Age Origins: Awakening,PS3,2010,Role-Playing,Spike,0.24,0,0,0.02,0.26
King's Field II,PS,1996,Role-Playing,From Software,0.08,0.06,0.11,0.02,0.26
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.13,0.07,0,0.06,0.26
Aikatsu! 2-nin no My Princess,3DS,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26
Beyblade: Metal Fusion,DS,2009,Role-Playing,Hudson Soft,0.08,0.03,0.14,0.01,0.26
NCAA Gamebreaker,PS,1996,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.26
Petz: Horsez 2,PS2,2007,Simulation,Ubisoft,0.13,0.1,0,0.03,0.26
NPPL: Championship Paintball 2009,PS2,2008,Shooter,Activision Value,0.13,0.1,0,0.03,0.26
Skylanders: SuperChargers,Wii,2015,Action,Activision,0.05,0.19,0,0.02,0.26
Zoo Tycoon 2: Ultimate Collection,PC,2008,Strategy,Microsoft Game Studios,0.04,0.18,0,0.04,0.26
Tomba!,PS,1997,Platform,Sony Computer Entertainment,0.15,0.1,0,0.02,0.26
Love Plus,DS,2009,Simulation,Konami Digital Entertainment,0,0,0.26,0,0.26
Tales of Innocence,DS,2007,Role-Playing,Namco Bandai Games,0,0,0.26,0,0.26
MLB SlugFest 2006,PS2,2006,Sports,Midway Games,0.13,0.1,0,0.03,0.26
J Stars Victory Vs.,PSV,2014,Fighting,Namco Bandai Games,0,0.07,0.17,0.02,0.26
Rugrats: I Gotta Go Party,GBA,2002,Action,THQ,0.19,0.07,0,0,0.26
Virtua Racing,GEN,1994,Racing,Sega,0,0,0.26,0,0.26
Crash Tag Team Racing,PSP,2005,Racing,Vivendi Games,0.16,0.06,0,0.04,0.26
Prison Break: The Conspiracy,PS3,2010,Action,Deep Silver,0.05,0.16,0,0.05,0.26
Bolt,PS2,2008,Adventure,Disney Interactive Studios,0.09,0.02,0,0.16,0.26
DS Bungaku Zenshuu,DS,2007,Misc,Nintendo,0,0,0.26,0,0.26
We Cheer 2,Wii,2009,Simulation,Namco Bandai Games,0.24,0,0,0.02,0.26
Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,0.24,0,0,0.02,0.26
Inazuma Eleven GO 3: Galaxy,3DS,2013,Sports,Level 5,0,0,0.26,0,0.26
Ford Racing 3,PS2,2004,Racing,Take-Two Interactive,0.13,0.1,0,0.03,0.26
Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,0.22,0.03,0,0.02,0.26
Phantasy Star Universe: Ambition of the Illuminus,PS2,2007,Role-Playing,Sega,0.1,0.08,0.05,0.03,0.26
Project Runway,Wii,2010,Simulation,Atari,0.24,0,0,0.02,0.26
Jikkyou Powerful Pro Yakyuu 2013,PS3,2013,Sports,Konami Digital Entertainment,0,0,0.26,0,0.26
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,2002,Action,THQ,0.19,0.07,0,0,0.26
Sengoku Basara 2,PS2,2006,Action,Capcom,0,0,0.26,0,0.26
Naruto: Ultimate Ninja Heroes,PSP,2006,Fighting,Namco Bandai Games,0.26,0,0,0,0.26
Inazuma Eleven Strikers,Wii,2011,Role-Playing,Nintendo,0,0.01,0.25,0,0.26
Hey Arnold! The Movie,GBA,2002,Platform,THQ,0.19,0.07,0,0,0.26
Final Fantasy V Advance,GBA,2006,Role-Playing,Nintendo,0,0,0.26,0.01,0.26
Need for Speed: Most Wanted,GBA,2005,Racing,Electronic Arts,0.19,0.07,0,0,0.26
Lumines: Electronic Symphony,PSV,2012,Misc,Ubisoft,0.11,0.1,0.01,0.05,0.26
Star Trek: Invasion,PS,2000,Simulation,Activision,0.15,0.1,0,0.02,0.26
Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,Square Enix,0.13,0.06,0.05,0.02,0.26
Jonah Lomu Rugby Challenge,PS3,N/A,Sports,Home Entertainment Suppliers,0,0.2,0,0.06,0.26
Babysitting Mania,DS,2008,Simulation,Majesco Entertainment,0.24,0,0,0.02,0.26
Star Wars: Bounty Hunter,GC,2002,Shooter,LucasArts,0.2,0.05,0,0.01,0.26
Tom and Jerry in War of the Whiskers,PS2,2002,Fighting,Ubisoft,0.13,0.1,0,0.03,0.26
Ace Attorney Investigations 2,DS,2011,Adventure,Capcom,0,0,0.26,0,0.26
Minute to Win It,Wii,2010,Misc,Zoo Games,0.25,0,0,0.02,0.26
Smart Girl's Playhouse,DS,2007,Misc,505 Games,0.24,0,0,0.02,0.26
Racquet Sports,Wii,2010,Sports,Ubisoft,0.14,0.09,0,0.02,0.26
TouchMaster 3(Others sales),DS,2009,Puzzle,Warner Bros. Interactive Entertainment,0,0.24,0,0.02,0.26
The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,0.01,0.2,0,0.05,0.26
Jikkyou Powerful Pro Yakyuu 2011,PS3,2011,Sports,Konami Digital Entertainment,0,0,0.26,0,0.26
Madden NFL 2005,DS,2004,Sports,Electronic Arts,0.24,0,0,0.02,0.26
Skylanders: Trap Team,3DS,2014,Action,Activision,0.14,0.1,0,0.02,0.26
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,GBA,2006,Misc,Konami Digital Entertainment,0.14,0.05,0.07,0.01,0.26
Power Pro Kun Pocket 5,GBA,2003,Sports,Konami Digital Entertainment,0,0,0.25,0.01,0.26
Konjiki no Gashbell!! Makai no Bookmark,GBA,2004,Adventure,Banpresto,0,0,0.25,0.01,0.26
Plants vs. Zombies,X360,2010,Strategy,PopCap Games,0.24,0,0,0.02,0.26
Riding Spirits,PS2,2002,Racing,BAM! Entertainment,0.13,0.1,0,0.03,0.26
Disney Sing It: Pop Hits,PS3,2009,Misc,Disney Interactive Studios,0.17,0.05,0,0.03,0.26
Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,0.17,0.07,0,0.02,0.26
Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26
Bust A Groove 2,PS,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26
Hatsune Miku: Project Diva,PSP,2009,Misc,Sega,0,0,0.26,0,0.26
Juiced 2: Hot Import Nights,PS3,2007,Racing,THQ,0.18,0.04,0.01,0.03,0.26
Gundam Battle Universe,PSP,2008,Fighting,Namco Bandai Games,0,0,0.26,0,0.26
Sengoku Basara: Battle Heroes,PSP,2009,Action,Capcom,0,0,0.26,0,0.26
Nightmare Creatures,N64,1996,Action,Activision,0.21,0.05,0,0,0.26
Star Wars Episode I: Battle for Naboo,N64,2000,Simulation,LucasArts,0.21,0.05,0,0,0.26
Duke Nukem: Zero Hour,N64,1999,Shooter,GT Interactive,0.21,0.05,0,0,0.26
Armorines: Project S.W.A.R.M.,N64,1999,Shooter,Acclaim Entertainment,0.21,0.05,0,0,0.26
NCAA March Madness 08,PS2,2007,Sports,Electronic Arts,0.13,0.1,0,0.03,0.26
Armored Core: Nexus,PS2,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26
Evolution Skateboarding,PS2,2002,Sports,Konami Digital Entertainment,0.13,0.1,0,0.03,0.26
Dora the Explorer: The Search for Pirate Pig's Treasure,GBA,2002,Adventure,NewKidCo,0.19,0.07,0,0,0.26
Muramasa: The Demon Blade,PSV,2013,Role-Playing,Marvelous Entertainment,0.13,0,0.1,0.03,0.26
Yakuza: Ishin,PS3,2014,Action,Sega,0,0,0.26,0,0.26
Indiana Jones and the Staff of Kings,PSP,2009,Action,Activision,0.11,0.1,0,0.06,0.26
Tony Hawk: Shred,X360,2010,Sports,Activision,0.17,0.07,0,0.02,0.26
