news_date,news_title,news_summary
2021-04-02,Q&A: Jacinto Diego achieves longtime dream and readies for bright future,"When Jacinto Diego '21 joined Florida Polytechnic University four years ago, he became the first in his family to go to college. This summer, he will earn his business analytics degree with a concentration in logistics and supply chain management, fulfilling a longtime dream. Diego had an active campus life as a member of the Astro Club and LASA. This Immokalee, Florida, native also enjoyed meeting and helping others as a student worker at the gym in the Student Development Center (SDC), planting the seed for a potential business of his own in the future."
2021-04-01,Alum grows into tech-forward career with Publix Super Markets,"When Greg Willard '20 took a high school job packing and bagging grocery items at Publix Super Markets, he never imagined his time with the company would evolve from the supermarket floor to its website's technological infrastructure."
2021-03-30,Students get taste of tech start-up life at Embarc Collective,"Embarc Collective, a Tampa Bay education nonprofit that helps startup businesses build scalable, successful companies, opened its doors to Florida Polytechnic University students recently and offered them a peek at the possibilities for those considering an entrepreneurial future."
2021-03-26,Trailblazing leaders honored at Florida Poly's 2021 Women in STEM Awards,"Four women who have made an indelible impact on Florida Polytechnic University were honored at the University's 2021 Women in STEM Awards on Thursday, March 25."
2021-03-22,Florida Poly entrepreneurial team wins funding at Catapult LAUNCH Pitch Night,"LAKELAND, Fla. - An entrepreneurial team of Florida Polytechnic University students earned funding for their development of an innovative gesture-control device for electric longboards at the 2021 Catapult LAUNCH Pitch Night in Lakeland."
2021-03-18,Capstone team creates next-generation risk assessment tool,"In business, it's important to know whether potential partners have hidden risks that could one day affect either company's operations. A team of Florida Polytechnic University senior capstone design students are developing a tool to assess this risk and help companies make more informed decisions."
2021-03-16,SWE offers support and community to Florida Poly women,"When Elise Araiza arrived at Florida Polytechnic University in fall 2018, the mechanical engineering major sought out people and organizations with likeminded goals and a desire to support one another."
2021-03-11,Florida Poly student ready to embark on business-focused life,"When Florida Polytechnic University senior Stacie Akinyi was a student at boarding school in her native Kenya, she started a side hustle selling snacks and sundries to her peers. She soon discovered she had a knack for entrepreneurship that she couldn't ignore."
2021-03-08,"Bolstered by women, Department of Mechanical Engineering defies national trends","When female students begin pursing a mechanical engineering degree at Florida Polytechnic University, they can quickly see the world of opportunities available to women in the male-dominated field."
2021-03-04,Engineering alum excels in leadership role with global tech company,"In the three years since Christopher Krenek '18 graduated with a bachelor's degree in mechanical engineering from Florida Polytechnic University, he has become an accomplished process engineer and manages a team of 20 at Carlisle Interconnect Technologies in Saint Augustine, Florida."
2021-03-02,Phoenix driven to cultivate a high-wattage future,"Growing up, Florida Polytechnic University junior Lillian Frometa was fascinated by her electrician father's projects around their Miami home."
2021-02-26,Financial aid opens doors of opportunity to hundreds of Florida Poly students,"While a student at Tampa Bay Technical High School, Maricelly Nascimento knew she'd need extra financial help to make her academic dreams become a reality."
2021-02-26,Trustee inspired to improve equity among all students,"Honoring the experiences of those who came before her, Florida Polytechnic University Trustee Lyn Stanfield is driven to make an impact for underrepresented groups. From her service in the community to her role as an Inclusion and Diversity leader at Apple, Stanfield feels strongly that she has ""a charge to keep."""
2021-02-23,Strong campus involvement drives student to success,"As Florida Polytechnic University senior Antonio Hendricks aspires toward a future in innovative technologies and engineering, particularly surgical robotics, he grabs hold of every educational opportunity that comes his way. He is active on campus and strives to improve the University experience for his fellow students."
2021-02-22,Ready to grow: Florida Poly recruiting dozens of faculty,"LAKELAND, Fla. - Florida Polytechnic University, the only state university dedicated entirely to STEM (science, technology, engineering, and math), is poised for unprecedented growth as it seeks to add 25 new faculty members for the fall 2021 semester."
2021-02-22,Phoenix Lacrosse shines in inaugural season opener,"The Phoenix Lacrosse Team took the field for the first time on Friday, Feb. 19, in a Purple and White exhibition game. The spirited event drew a crowd of more than 100 Florida Polytechnic University students and other supporters eager to cheer on the student athletes in their debut game despite the cold, rainy weather."
2021-02-16,Students share high-tech project experience with future collegians,"Middle and high school students at dozens of schools across the state learned about the culture of hands-on, high-tech learning at Florida Poly University on Thursday, Feb. 11."
2021-02-15,New partnership with FSC to provide 4+1 MBA opportunities to Florida Poly grads,"LAKELAND, Fla. - Florida Polytechnic University and Florida Southern College announced today an exclusive public-private partnership that will allow Florida Poly students to earn a STEM bachelor’s degree and a Master of Business Administration from Florida Southern in five years or less."
2021-02-12,Florida Poly celebrates International Day of Women and Girls in Science,"The possibilities for girls and women who choose to pursue careers in science were on full display on Thursday, Feb. 11, at a daylong virtual event celebrating International Day of Women and Girls in Science at Florida Polytechnic University."
2021-02-12,Phoenix committed to education and giving back,"When Cedriss Saint-Louis receives his master's degree in computer science this spring, he will be taking a major step toward fulfilling his personal goals and living up to his family's ambitions."
2021-02-11,"Students design next generation of high-tech, sentimental jewelry","For centuries, lockets have allowed people to keep precious memories close to their hearts. A team of Florida Polytechnic University capstone students is modernizing the traditional sentimental accessory, infusing it with advanced technology and limitless possibilities."
2021-02-10,Driven to inspire girls' passion for future in STEM,"Indira Sukhraj knows that great things can happen when girls are given the opportunity to nurture an interest in science, technology, engineering, and math (STEM)."
2021-02-05,Students gain professional boost through career fair and CODES events,"As students work their way through the spring semester, Florida Polytechnic University is making sure they have access to many virtual workshops, speaker sessions, and a career fair to improve their employability and their professional prospects."
2021-02-02,NSBE provides members a firm foundation and strong support,"When senior Charisma Clarke transferred to Florida Polytechnic University after studying in his native Bahamas for two years, he was excited to join a student organization that supported him and offered him a stronger sense of belonging."
2021-01-28,Fulbright scholars explore educational opportunities at Florida Poly,Florida Polytechnic University is helping three Fulbright scholars broaden their cultural experiences while they pursue an advanced graduate education.
2021-01-26,Founding Trustee's donation supports first-generation scholars,"When a vision for the first state university dedicated entirely to STEM began to blossom in 2012, Robert Gidel was tapped to join Florida Polytechnic University's first Board of Trustees and help guide the creation of the new institution."
2021-01-21,"Grad student finds success, support with faculty mentor","In immense grief and mired in one of the most difficult times of her life following the death of her father, Florida Polytechnic University student Jordan Douglass sought to drop her operations research class in spring 2019 to allow herself time to grieve and regroup."
2021-01-19,Florida Poly bucks national trend with increase in transfer student enrollment,"LAKELAND, Fla. - The number of transfer students enrolling at Florida Polytechnic University has increased dramatically for the Spring 2021 semester, in stark contrast to national trends."
2021-01-15,Florida Poly aims to advance diversity and inclusion in 2021,"Florida Polytechnic University's Office of Diversity and Inclusion is laser focused on ensuring the entire campus community feels accepted, comfortable, and included, regardless of race, gender, nationality, religion, or other characteristics."
2021-01-08,Florida Poly Police build safety through community,"With a commitment to campus safety and a friendly attitude, the Florida Polytechnic University Police Department prides itself on connecting with students and building relationships with those they serve and protect."
2021-01-07,"Statement on recent events in Washington, D.C.","Yesterday's chaotic events at the US Capitol were unequivocally wrong and do not represent our country's fundamental role as a civilized and educated society. Florida Polytechnic University supports the democratic expression of all freedoms, but the conduct we all witnessed was deplorable."
2021-01-05,Professor's research featured in WHO COVID-19 database,"Dr. Ajeet Kaushik, assistant professor of chemistry at Florida Polytechnic University, joined scientists around the world in shifting his attention in 2020 toward addressing the COVID-19 pandemic."
2020-12-18,2020 Florida Poly look back,"In the face of a pandemic that challenged the way the world operates, Florida Polytechnic University worked throughout 2020 to support students, improve academic opportunities, and help the surrounding community. Among the events that stood out in an unprecedented year were national recognitions, new programs, and advances in innovation."
2020-12-17,Phoenix earns national archery ranking and advances Olympic goals,Florida Polytechnic University junior Bruce Hicks has taken a giant step toward achieving his goal of representing the United States in the 2024 Olympic Games in archery.
2020-12-17,Rashid listed among top 2% of world's leading scientists,"LAKELAND, Fla. - Florida Polytechnic University professor Dr. Muhammad Rashid has been listed among the top 2% of scientists in a global list compiled by Stanford University. At number 617, Rashid was ranked in the top 1% of the 87,611 scientists in his field of electronics and electrical engineering in the study."
2020-12-16,COVID-19-inspired app to help patients communicate through gaze tracking,"As the number of intubated COVID-19 patients began increasing across the country this spring, an employee at Lakeland Regional Health whose family member was ill with the disease realized there was a need to make communication easier between these patients and the medical professionals caring for them."
2020-12-14,Annual Florida Poly toy drive brings cheer to Lakeland pediatric patients,The holiday season will be a little brighter for pediatric patients at Lakeland Regional Health Medical Center. The Florida Polytechnic University community once again rallied behind an effort of the University's Police Department to donate toys to children who are hospitalized and may need some extra cheer.
2020-12-07,Florida Poly cements partnership with prestigious Brazilian university,A new agreement between Florida Polytechnic University and the prestigious Centro Universitário Facens in Brazil promises to help both institutions expand their work and advance technological and economic success.
2020-12-04,Florida Poly named top 5 tech university in the South,"LAKELAND, Fla. - Florida Polytechnic University has been named one of the five best universities in the Southern states for tech students by Deep South Magazine."
2020-12-01,Florida Poly announces state's first undergraduate Health Systems Engineering concentration,Students with a love of STEM and an interest in health care can prepare for a career that prioritizes both with Florida Polytechnic University's new Health Systems Engineering (HSE) program.
2020-11-24,Florida Poly builds first pipeline to elite US Navy officer program,"LAKELAND, Fla. - Florida Polytechnic University is paving the way for ambitious, patriotic students to earn their STEM degree before continuing on to serve their county in a notable career as high-tech officer in the U.S. Navy."
2020-11-23,Virtual Game Expo displays students' game development skills,"Unique, student-designed video games were on full display at Florida Polytechnic University's fall 2020 Virtual Game Expo."
2020-11-20,Plan today for Thanksgiving through spring 2021,"As Phoenixes pause to remember what they're thankful for this Thanksgiving, many will return home and recharge among family and friends."
2020-11-19,International student builds community at Florida Poly,"Juhyung Kim and his family moved from South Korea to Canada when he was 13, and the culture shock led him to embrace the world of Minecraft, a sandbox video game, on his home computer."
2020-11-18,Florida Poly Board of Trustees welcomes four new prominent appointments,"LAKELAND, Fla. - Florida's Board of Governors appointed four distinguished and diverse members to the Florida Polytechnic University Board of Trustees."
2020-11-18,Professor's new program fund turns students' engineering ideas into reality,Dr. Muhammad Rashid's passion for education has driven his actions for more than 40 years.
2020-11-11,Hurricane Eta Updates,"We are closely monitoring the path of Hurricane Eta as it continues to approach Florida and may impact our region. At this time, there are no changes to class schedules and the University will continue its regular operations."
2020-11-10,Florida Poly Band arises and finds its groove,The Florida Polytechnic University Band made its performance debut at Phoenix Family Day on Oct. 17 in the Oak Groove.
2020-11-05,Clubs energized by Student Development collaboration,Health restrictions and challenges posed by COVID-19 haven't stopped student clubs from making the most out of the fall semester. A new push by the Office of Student Development is reinforcing student efforts and working for their success.
2020-11-04,Capstone team works to improve critical medical sample transportation,Testing of biological samples for COVID-19 and other medical purposes relies upon the samples being held at the right temperature until the test can be completed. Maintaining this stable environment can mean the difference between a successful test and a ruined sample.
2020-10-28,"Leaders inspire, share successes at Women in STEM panel","A group of women enjoying success in the classroom, academia, and industry joined on Tuesday, Oct. 27 to share their experiences and inspire the next generation of female STEM leaders at a virtual Women in STEM panel discussion."
2020-10-27,Bright future is on deck for 2018 alum and Navy officer,"When Peter Moran '18 joined the Navy in 2019, his thoughts were of his grandfather who served in the Marine Corps during World War II."
2020-10-26,Florida Poly researchers take on ransomware fight,"The threat of ransomware grows more menacing by the day for everyone from single smartphone users to massive corporations. Vinicius Seixas '20, a graduate student studying computer science at Florida Polytechnic University, wants to find a way to stop ransomware in its tracks."
2020-10-21,Florida Poly ranked among top 3 best-performing state universities,"LAKELAND, Fla. - Florida Polytechnic University was ranked third in the State University System for top performance at a low cost, according to WalletHub's 2021's Best College & University Rankings report released this week. The University is ranked behind only the University of Florida and Florida State University on the list."
2020-10-20,Students learn about career in gaming at Xbox,Students who dream of one day joining the world that brings their favorite video games to life had an opportunity to hear directly from a professional in the field.
2020-10-19,National security partnership has Florida Poly students solving pressing military problems,The U.S. military is turning to interdisciplinary teams of students from Florida Polytechnic University to help solve some of its most pressing challenges.
2020-10-16,Virtual fun brings Florida Poly together on Phoenix Family Day,"Proud Phoenixes will show off the Florida Polytechnic University way of life - virtually - on Saturday, Oct. 17, during Phoenix Family Day."
2020-10-15,Florida Poly Police Department awarded statewide law enforcement accreditation,"LAKELAND, Fla. - The Florida Polytechnic University Police Department is now an accredited law enforcement agency in the state of Florida. The department received the award from the Commission for Florida Law Enforcement Accreditation (CFA) on Thursday, Oct. 15, recognizing its policies, procedures, and processes as meeting or exceeding industry standards."
2020-10-15,University Procurement recognized with prestigious award,"For a third consecutive year, Florida Polytechnic University's Procurement Department received the prestigious Achievement of Excellence in Procurement® (AEP) Award from the National Procurement Institute, Inc. (NPI). The award recognizes public and nonprofit agencies that demonstrate a commitment to procurement excellence by embracing innovation, professionalism, productivity, leadership, and e-procurement."
2020-10-14,Ph.D. and M.S. opportunities abound for Florida Poly students,"A bachelor's degree from Florida Polytechnic University positions students to succeed in many of today's fastest-growing fields. However, many students have dreams that only a master's degree or a Ph.D. can help them achieve."
2020-10-13,Heartland Scholarship Fund supports students from rural Florida,"As Florida Polytechnic University grew from a vision to a nationally recognized STEM institution in just eight years, Ford Heacock remained steadfast as one of its staunchest supporters."
2020-10-13,Students to explore professional opportunities at University's first virtual career fair,"The search for jobs and internships got more complicated after the COVID-19 pandemic pushed many companies to shift their interview and hiring processes online. But Pairris Jones, Florida Polytechnic University's associate director of career development, said Phoenixes are well positioned to do well in today's employment landscape."
2020-10-07,Florida Poly launches virtual STEM outreach for state's K-12 schools,"While the COVID-19 pandemic stopped in-person outreach and campus visits by Central Florida's K-12 schools, Florida Polytechnic University's Office of Educational Outreach created new ways to take close-up STEM demonstrations and discussions directly to these students."
2020-10-06,Grit and resilience fuel senior's determination to succeed and give back,"Vicente Ramos was only 3 when his parents decided to leave everything behind in Mexico in pursuit of better opportunities in the United States. Now, almost 30 years later, he is less than a year away from earning a high-demand degree in computer science from Florida Polytechnic University. His future is bright."
2020-10-01,Culture and destiny guide professor's professional path,Dr. Edwar Romero-Ramirez knows his successes and his very presence as a faculty member at Florida Polytechnic University can affect the future of Hispanic students at the institution.
2020-09-28,Florida Poly professor tapped for national public policy program,An assistant professor of electrical engineering at Florida Polytechnic University has been selected for the highly competitive Optical Society of America (OSA) Foundation public policy program.
2020-09-24,Florida Poly launches innovative STEM support for high schools,Florida Polytechnic University is building tutoring partnerships with high schools across the state in an effort to bridge the educational hurdles posed by COVID-19.
2020-09-24,Innovative health device takes Florida Poly students to statewide competition finals,Florida Polytechnic University seniors Megan Morano and Ethan Medjuck recently competed as finalists in the Florida Blue Health Innovation Challenge.
2020-09-23,Family sacrifices fuel student’s dreams and future STEM success,Florida Polytechnic University student Magelee Delgado is pursuing a bachelor’s degree in business analytics with a concentration in logistics and supply chain management. Delgado is the first in her family to attend college. 
2020-09-22,Professor and student gain prestigious Fulbright appointments,A Florida Polytechnic University assistant professor and a senior computer science student have been selected by the Fulbright Program for prestigious academic appointments.
2020-09-21,University president recognized as one of Florida's top executives for second consecutive year,"LAKELAND, Fla. - Dr. Randy K. Avent, president of Florida Polytechnic University, was selected for the second consecutive year as one of Florida's most influential business leaders. Florida Trend magazine just released its annual Florida 500 list recognizing the state's top executives in a variety of economic sectors and industries."
2020-09-17,First academic honor society at Florida Poly takes root,"Florida Polytechnic University engineering and computer science students with stellar grades, involvement, and character are now eligible for selection to the new Mu Omega Chapter of the Institute of Electrical and Electronics Engineers Eta Kappa Nu (IEEE-HKN) academic honor society. This is Florida Poly's first academic honor society, recognizing students who excel academically and among their peers."
2020-09-16,Aerospace concentration helps students take flight,"Florida has been the epicenter of the U.S. aerospace industry for decades. Families have built traditions around watching the historic launch of space shuttles and rockets from the Kennedy Space Center in Cape Canaveral, Florida. Many children grew up looking at the sky in awe of a rocket disappearing as it goes into orbit."
2020-09-15,LASA connects Hispanic students to culture and peers,"The Latin American Studies Association (LASA) at Florida Polytechnic University creates an environment where students with Latin American ancestry or curiosity can gather for friendship and connection to Hispanic cultures, traditions, and fun."
2020-09-14,Florida Poly breaks into national rankings of top engineering colleges,
2020-09-10,Sky's the limit for students in tactical fighter aircraft internship,Two Florida Polytechnic University students are getting a high-flying look at an industry that plays a major role Florida's high-tech future. And the opportunity will surely shape their professional future as well.
2020-09-09,Microsoft expert offers project management insight to Capstone students,"Florida Polytechnic University students working on their capstone senior design projects received a lesson in successful project management from an expert in the field on Tuesday, Sept. 8."
2020-09-08,Florida Poly students remain in demand amid disrupted job market,"Life after graduation can be scary in the era of COVID-19. The novel coronavirus has severely affected the current job market with hiring freezes, limited recruitment, and major layoffs across many industries. However, it is a challenge Florida Polytechnic University students are prepared to face as they graduate equipped with a highly desirable STEM degree."
2020-09-04,"Purple Fire events offer fun, friendship during Labor Day weekend",Students will have to venture no farther than the Oak Grove and the Florida Polytechnic University soccer field to find fun and exciting events this Labor Day weekend.
2020-09-03,Labor Day update from SGA and President Avent,
2020-09-03,Internship with multinational software company blossoms into ongoing opportunity,A summer internship with multinational software company Red Hat turned into a long-term remote work position for Florida Polytechnic University senior Isabel Zimmerman.
2020-09-01,Scholarship helps Florida Poly freshman forge a path toward success,"When it came time for freshman Nelson Suárez to choose a university, he was drawn to Florida Polytechnic University because of its strong computer science program, its innovative spirit, and the feeling that he mattered."
2020-08-27,Data science student creates nanoHUB tool to enhance remote education,"Cindy Nguyen, a senior data science student at Florida Polytechnic University, recently completed an Undergraduate Research Experience (URE) with the Network for Computational Nanotechnology (NCN) at Purdue University. As part of the URE program, she developed an interactive learning tool for scientific computing and data analysis applications in science and engineering."
2020-08-25,New Office of Diversity and Inclusion expands support for minorities on campus,"LAKELAND, Fla. - Florida Polytechnic University is starting the academic year with a strong commitment to an environment of respect, support, and adequate representation of minorities on campus. The University created the Office of Diversity and Inclusion to play a critical role in supporting students and employees of all races, ethnicities, genders, faiths, sexual orientations, and cultural backgrounds."
2020-08-24,Hybrid Club Row helps students connect and get involved,"One of the cornerstones of the University experience is involvement in student clubs and organizations. Club Row, an event that connects students with these academic and recreational groups each semester, kicks off on Aug. 24 with both virtual and in-person environments."
2020-08-21,"Presidential Ambassadors adapt, take flight for new academic year","As Florida Polytechnic University starts the fall 2020 semester under new guidelines and safety measures due to COVID-19, a group of 12 students is adapting to the changes and ready to take flight as campus leaders."
2020-08-20,Purple Fire Weekends welcome students back to campus,"Purple Fire Week has become one of Florida Polytechnic University's most beloved traditions. And although the COVID-19 pandemic has pushed the event to embrace some changes this year, it is back and bigger than ever."
2020-08-19,Student body president gears up for busy and unusual academic year,"As students return to campus for the start of the 2020-2021 academic year, Connor Coddington is getting ready to tackle far more than a busy course schedule."
2020-08-18,Move-in begins at Florida Poly with new COVID-19 precautions,Juan Forero pulled into the Florida Polytechnic University campus on Aug. 17 eager to settle into his residence hall room and get started on his senior year.
2020-08-17,Florida Poly's incoming class grows despite unprecedented times,"LAKELAND, Fla. - Florida Polytechnic University is ready to begin the new academic year with gains in both quantity and quality of its incoming class, despite unprecedented challenges caused by COVID-19 and the economic downturn."
2020-08-14,Student life returns with all eyes on COVID-19 prevention,"As students arrive on campus for the start of the fall semester, they will be able to enjoy Florida Polytechnic University's campus facilities and services - with a few changes to help minimize the spread of COVID-19."
2020-08-14,Florida Poly expands student health resources for fall 2020 semester,"Student health is a critical priority, particularly as the novel coronavirus continues making its way through our communities. Florida Polytechnic University has created an all-new respiratory clinic for the University community and extended the hours of its existing student Health Clinic."
2020-08-13,University updates aim to minimize COVID-19 spread on campus,"When students return to Florida Polytechnic University for classes on Aug. 20, they'll find that the campus has been transformed into an environment that prioritizes physical distancing and other COVID-19 prevention best practices, without sacrificing the rich university experience."
2020-08-13,Internship crystallizes the future for mechanical engineering student,"When Blake Cervone was only an eighth-grader in Davie, Florida, he decided a future in engineering was the right path for him."
2020-08-10,Research team finds new ways to clean up landfill leachate,"The clean rainwater that seeps into the mountains of trash at Florida's landfills mixes with liquids in the waste and absorbs chemicals, toxins, and organic materials before exiting as leachate that can potentially pollute waterways."
2020-08-06,Research aims to keep critical services humming after disaster,"When disaster strikes, critical facilities like hospitals, police stations, and military bases can't afford to be without power for long."
2020-08-04,Combat robotics team ready to take on international rivals,"LAKELAND, Fla. - The Combat Robotics Division of Florida Polytechnic University's Purple Fire Robotics club is ready for a challenge unlike any it has ever faced."
2020-07-31,Internship sparks excitement for remote coding work,"The technical know-how that senior Arthur Gelman sharpened in his computer science courses at Florida Polytechnic University is being put into practice this summer in a remote internship with MMG Fusion, a marketing and technology company based in Severna Park, Maryland."
2020-07-30,Autonomous golf cart gets rolling at Florida Poly,"LAKELAND, Fla. - A team of researchers at Florida Polytechnic University is turning a disused golf cart into a solar-powered autonomous vehicle that will be used to advance cutting-edge research for years to come. The project is funded by the University's Advanced Mobility Institute and will be used to support a $350,000 National Science Foundation award to develop a large-scale Hardware-in-the-Loop simulation facility for connected and autonomous vehicles (CAV)."
2020-07-29,Weather the season’s storms with strong hurricane prep,"As the National Hurricane Center tracks Potential Tropical Cyclone Nine, it's a good time to revisit your personal disaster preparedness plans. The atmospheric disturbance is expected to become Tropical Storm Isaias soon and possibly make landfall in Florida by this weekend."
2020-07-27,New Phoenix Flight internship program guides student entrepreneurs,"Students who have a great idea and the drive to make it become a reality are finding support this summer with Phoenix Flight, Florida Polytechnic University's new entrepreneurial internship program."
2020-07-27,Cutting-edge research at Florida Poly’s FIPR Institute featured on television,"Research underway at Florida Industrial and Phosphate Research Institute (FIPR), a research entity within Florida Polytechnic University, was featured on “Action News Jax” as part of an investigative report on the future production of rare earth elements in the United States. "
2020-07-24,Florida Poly senior helps inspire children's love for STEM,"Juliana Laurin is using her passion for STEM to encourage children's interest in science, technology, engineering, and math disciplines. Her summer internship with Stemwerx is focused on creating an engaging experience for elementary-age kids through an innovative virtual book about engineering."
2020-07-22,Florida Poly's new Scatter Band prepares to soar,"Students will have a fun, new musical outlet for their time and talent when Florida Polytechnic University kicks off its fall semester."
2020-07-20,Florida Poly partners with Florida Funders to continue evolving the Sunshine State into the Startup State ,"Lakeland, Fla. - July 20, 2020 - Florida Polytechnic University, known for shaping the state's future STEM talent, today announces a partnership with Florida Funders, a hybrid of a venture capital fund and an angel investor network, to provide the next generation of  students with meaningful connections in the technology startup industry."
2020-07-17,Programming Club empowers students for success in competitive hackathons,Hackathons are a way of life at Florida Polytechnic University. The Programming Club is making sure students from all majors have the tools they need to join in and succeed at its upcoming Code of the Phoenix Mini Hackathon on July 25.
2020-07-16,International scientific community converges virtually at Florida Poly,"Materials science professors, researchers, and students from around the globe convened online recently for the International Webinar on Materials Synthesis and Characterization 2020, hosted jointly by Florida Polytechnic University and Dr. Rammanohar Lohia Avadh University in India."
2020-07-13,National lab internship immerses student in real-world research,"The work senior Alexis Downing is doing as an intern with Argonne National Laboratory, a world-class science and engineering research center, will pave the way for a successful future in research."
2020-07-08,Mechanical engineering alum does critical work during COVID-19,"When the COVID-19 crisis began, Sam Trappen '18 knew his work helping ensure the health of medically fragile patients was going to be more critical than ever."
2020-07-06,Microsoft esports collaboration boosts Florida Poly gaming tournaments,"Microsoft is lending its expertise to Florida Polytechnic University esports tournaments, boosting both their reach and reputation."
2020-07-02,Virtual orientation to give new Phoenixes a soaring start,Restrictions on in-person gatherings won't stop incoming freshmen and transfer students from getting to know the Florida Polytechnic University campus and way of life before their first day of classes this fall.
2020-07-01,Google account executive shares path to success with Florida Poly students,"A persistent voice urging Lavendar Phan not to settle pushed her to chart her own course to professional success. Unafraid to pivot and try something new, Phan has gone from governmental consultant to Google account executive in 10 short years, discovering new strengths and passions along the way."
2020-06-30,Former Saddle Creek CEO named Florida Poly Board of Trustees chair,"LAKELAND, Fla. - The Florida Polytechnic University Board of Trustees has a new chair. Trustee Cliff Otto, former CEO of Saddle Creek Logistics Services, has been named chair for a two-year term. Trustee Mark Bostick will serve as vice chair."
2020-06-29,6th annual Florida Poly Pi Run goes virtual for July 4 weekend,"Florida Polytechnic University students, faculty, and staff are ready for one of the school's most popular traditions, and this time the action goes virtual. The annual Florida Poly Pi Run, which traditionally takes place on March 14 to celebrate the mathematical constant of pi, was delayed as COVID-19 forced the cancellation of on-campus events this spring."
2020-06-26,New Phoenix rises into existence at Florida Poly,"A bolder, more energized Florida Polytechnic University Phoenix was unveiled on June 26, culminating a thoughtful design process that incorporated student opinions and guidance."
2020-06-25,Internship fuels student's passion for engineering,Senior Alan Longfellow is spending the summer gaining valuable real-world research experience that will help fuel his aerospace dreams.
2020-06-24,Compliance assessment for CFA law enforcement accreditation,"LAKELAND, Fla. - The Florida Polytechnic University Police Department is scheduled for a compliance assessment as part of an effort to achieve law enforcement accreditation by verifying it meets professional standards administered by the Commission for Florida Law Enforcement Accreditation (CFA)."
2020-06-23,University ready to restart vibrant campus life,"ORLANDO, Fla. - On Tuesday, the Florida Board of Governors approved Florida Polytechnic University's plan for resuming its on-campus operations in the fall."
2020-06-22,Alum entrepreneur shares $1m success story with Florida Poly community,"Although Andre Ripley '19 only graduated from Florida Polytechnic University a year ago, he has already launched three growing companies and landed a $1 million annual partnership with Facebook."
2020-06-19,Update for Students on Fall 2020 Plans,The Florida Poly Blueprint for Returning to Campus was delivered to all students last week. This message provides some key summary details.
2020-06-18,Florida Poly and Rep. Burton donate thousands of masks to Lakeland nonprofits,"Florida Polytechnic University partnered with State Rep. Colleen Burton to donate 10,000 face masks to multiple local nonprofit organizations to help them continue their essential work during the COVID-19 pandemic."
2020-06-18,Honest talk about race and racism unites Florida Poly community,"A virtual forum designed to elicit honest opinions about race and diversity both nationally and within the Florida Polytechnic University community drew more than 100 attendees on Wednesday, June 17."
2020-06-17,New University website experience keeps Florida Poly on the cutting edge,Florida Polytechnic University has launched a totally new website experience dedicated to offering all users an easy and effective way to get the information they need and want.
2020-06-16,Speaker series connects students with senior Microsoft leaders,Mentorship made all the difference to Microsoft senior consultant Adam McCullough when he underwent an abrupt career shift about 10 years ago.
2020-06-10,COVID-19 calls mechanical engineering student to help with crucial testing,"While her Florida Polytechnic University peers were studying for finals and adjusting to remote education this spring, mechanical engineering major Spc. Brooke Smith's unit with the Florida Army National Guard was activated to help with COVID-19 testing in Jacksonville, Florida."
2020-06-08,Accusoft and students connect in virtual campus visit,"Students eager to learn about the real-life experiences and expectations of software development professionals took advantage of a unique professional opportunity on Thursday, June 4."
2020-06-04,Scholarship named for departing Trustee creates opportunity for African American students,"LAKELAND, Fla. - A new scholarship named for Florida Polytechnic University Trustee Frank T. Martin is designed to provide more opportunity to African American students and help them achieve their STEM career ambitions."
2020-06-01,Alum helps sustain restaurants amid COVID-19,"When the emergence of COVID-19 led to overnight changes in the restaurant industry, Florida Polytechnic University alum Matthew Giallourakis and his family sprang into action."
2020-05-31,Statement on current national events from the president,"The events of this week cause our hearts to ache as we acknowledge continued heinous and appalling acts against people of color. We watch in pain as some of our cities burn with anger that has amassed as a result of 400 years of injustice. I want you to know that we, at Florida Poly, condemn any form of racism in our communities and on our campus. We also acknowledge the pain and suffering that many in our community, and across the country, are feeling during these troubling times."
2020-05-28,Florida Poly working to move forward during COVID-19,Florida Polytechnic University is carefully and deliberately exploring the most effective strategies to move the University forward as our nation continues to grapple with a new normal in the face of COVID-19.
2020-05-27,New SGA leadership working to support students through COVID-19 and beyond,"The Florida Polytechnic University Student Government Association boasts a large number of first-time members and leaders as it heads into the fall 2020 semester. The new leadership is spending the summer months planning and working to improve student representation, support, and engagement."
2020-05-21,"University leaders begin planning for students, employees to return to campus","I hope you're doing well and are continuing to stay healthy during this time.  As you know, several dedicated teams have begun conversations and the necessary work to determine the best way for Florida Poly to operate this coming fall semester.  Led by the Provost's office, those involved in these campus planning effort groups will work within a BoG Blueprint to develop our plan for the return of students to campus. The BoG will present that Blueprint next week."
2020-05-20,Women faculty aim to inspire next generation of female STEM leaders,Florida Polytechnic University is working to ensure the faculty educating the world's emerging STEM leaders are as diverse and energetic as the students they teach.
2020-05-18,'20 Florida Poly alum springboards to dream career in cybersecurity,The work Bryan Urias '20 does as an information security analyst for tech start-up JustProtect is the culmination of years of dedication and hard work. And he couldn't be happier.
2020-05-15,Internship blooms into programming career for 2020 Florida Poly grad,"One of the first times Daniel Rentfro laid his hands on a computer was when he was only 4 years old. The preschooler sat with his father in their Clearfield, Utah home, opening the case to a contraption that would change his life."
2020-05-14,Florida Poly partners with Microsoft for virtual workshop series,Florida Polytechnic University is partnering with tech giant Microsoft to offer weekly online professional development workshops for the University community this summer.
